Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,NY Giants,56.63%,42.78%,46.89%,53.87%,59.93%,47.78%
2,Philadelphia,56.27%,55.56%,77.89%,62.61%,48.67%,47.59%
3,Cincinnati,55.20%,49.15%,49.44%,60.58%,52.13%,50.94%
4,Washington,54.98%,57.30%,59.78%,54.81%,55.15%,53.93%
5,Cleveland,54.43%,48.19%,67.56%,60.65%,46.98%,56.05%
6,Baltimore,54.05%,56.96%,30.78%,61.33%,47.98%,48.75%
7,LA Chargers,53.99%,48.59%,63.67%,50.93%,56.54%,49.95%
8,New England,53.25%,46.74%,54.00%,54.37%,52.13%,52.35%
9,San Francisco,53.07%,62.22%,52.00%,56.89%,49.89%,49.98%
10,NY Jets,52.59%,52.11%,53.56%,50.91%,54.60%,44.85%
11,Kansas City,52.22%,57.56%,74.67%,55.83%,47.89%,44.65%
12,Arizona,52.15%,44.37%,36.33%,46.11%,58.19%,58.33%
13,Buffalo,51.53%,58.11%,46.00%,48.64%,52.97%,53.64%
14,Minnesota,50.89%,50.78%,61.33%,50.67%,51.16%,49.92%
15,Chicago,50.25%,48.33%,46.44%,57.51%,45.06%,48.69%
16,Denver,49.88%,45.26%,41.44%,52.11%,48.02%,54.24%
17,Pittsburgh,49.47%,64.26%,63.00%,48.16%,50.57%,52.91%
18,Dallas,49.29%,52.00%,53.11%,46.61%,52.51%,46.09%
19,Tennessee,47.98%,52.04%,50.56%,49.91%,46.37%,54.96%
20,LA Rams,47.45%,39.63%,25.33%,53.17%,40.60%,50.88%
21,Indianapolis,47.32%,46.85%,37.00%,47.93%,46.72%,55.07%
22,Las Vegas,47.30%,51.37%,48.67%,48.39%,46.68%,47.00%
23,Jacksonville,47.28%,51.19%,69.22%,47.49%,47.11%,44.29%
24,Green Bay,47.12%,44.26%,22.11%,50.44%,44.75%,50.29%
25,Miami,47.05%,45.78%,39.44%,49.37%,44.27%,54.16%
26,New Orleans,46.52%,43.56%,48.00%,52.22%,40.81%,52.61%
27,Houston,46.46%,50.22%,60.56%,40.40%,51.52%,42.79%
28,Carolina,46.43%,50.52%,58.56%,51.89%,38.78%,50.69%
29,Tampa Bay,46.26%,54.48%,32.44%,45.22%,47.13%,50.92%
30,Detroit,45.63%,51.96%,34.11%,40.74%,51.49%,50.71%
31,Seattle,43.98%,48.15%,51.33%,44.07%,43.91%,39.91%
32,Atlanta,43.68%,42.07%,40.22%,44.13%,43.22%,44.52%
