Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Atlanta,2.56%,0.00%,0.00%,0.00%,5.88%,0.00%
2,Miami,2.33%,9.09%,0.00%,0.00%,6.67%,1.33%
3,Dallas,2.04%,0.00%,0.00%,0.00%,4.17%,4.00%
3,NY Jets,2.04%,0.00%,0.00%,0.00%,3.85%,0.00%
5,New England,1.92%,0.00%,0.00%,3.45%,0.00%,0.00%
6,Washington,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Pittsburgh,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%
6,New Orleans,0.00%,0.00%,0.00%,0.00%,0.00%,1.23%
6,Las Vegas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Detroit,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Chicago,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Jacksonville,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,San Francisco,0.00%,0.00%,0.00%,0.00%,0.00%,1.22%
6,Tennessee,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Cleveland,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Houston,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Tampa Bay,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Arizona,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Kansas City,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Denver,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Buffalo,0.00%,0.00%,0.00%,0.00%,0.00%,1.25%
6,Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,1.33%
6,LA Chargers,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,NY Giants,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,LA Rams,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Green Bay,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Cincinnati,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Baltimore,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Seattle,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Philadelphia,0.00%,0.00%,0.00%,0.00%,0.00%,1.43%
6,Minnesota,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
6,Indianapolis,0.00%,0.00%,0.00%,0.00%,0.00%,3.23%
