Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Arizona,0.4,0.0,0.0,0.5,0.3,0.1
2,New England,0.3,0.0,0.0,0.3,0.2,0.2
2,Carolina,0.3,0.0,0.0,0.3,0.2,0.0
4,Dallas,0.2,0.0,0.0,0.2,0.2,0.3
4,Las Vegas,0.2,0.0,0.0,0.5,0.0,0.0
4,San Francisco,0.2,0.0,0.0,0.2,0.2,0.1
4,Miami,0.2,0.3,1.0,0.3,0.0,0.3
8,Atlanta,0.2,0.0,0.0,0.3,0.0,0.1
8,Washington,0.2,0.7,0.0,0.0,0.3,0.1
10,Pittsburgh,0.1,0.0,0.0,0.0,0.2,0.1
10,Detroit,0.1,0.3,0.0,0.0,0.2,0.0
10,Jacksonville,0.1,0.0,0.0,0.0,0.2,0.1
10,Tennessee,0.1,0.0,0.0,0.2,0.0,0.2
10,Cleveland,0.1,0.0,0.0,0.2,0.0,0.1
10,Tampa Bay,0.1,0.0,0.0,0.0,0.2,0.1
10,Kansas City,0.1,0.0,0.0,0.2,0.0,0.2
10,Seattle,0.1,0.0,0.0,0.0,0.2,0.0
10,Philadelphia,0.1,0.0,0.0,0.0,0.2,0.3
10,Minnesota,0.1,0.3,0.0,0.0,0.2,0.1
20,Buffalo,0.1,0.0,0.0,0.3,0.0,0.1
20,Green Bay,0.1,0.0,0.0,0.0,0.1,0.1
22,New Orleans,0.0,0.0,0.0,0.0,0.0,0.1
22,Chicago,0.0,0.0,0.0,0.0,0.0,0.1
22,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1
22,Houston,0.0,0.0,0.0,0.0,0.0,0.1
22,Denver,0.0,0.0,0.0,0.0,0.0,0.1
22,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.1
22,NY Giants,0.0,0.0,0.0,0.0,0.0,0.1
22,LA Rams,0.0,0.0,0.0,0.0,0.0,0.0
22,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.1
22,Baltimore,0.0,0.0,0.0,0.0,0.0,0.1
22,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.1
