Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Pittsburgh,100.00%,100.00%,100.00%,100.00%,100.00%,93.75%
1,New Orleans,100.00%,100.00%,--,100.00%,100.00%,81.58%
1,Houston,100.00%,100.00%,--,100.00%,100.00%,86.21%
1,Tampa Bay,100.00%,100.00%,100.00%,100.00%,100.00%,95.45%
1,New England,100.00%,100.00%,100.00%,100.00%,100.00%,89.80%
1,LA Chargers,100.00%,100.00%,100.00%,100.00%,100.00%,85.11%
1,LA Rams,100.00%,100.00%,100.00%,100.00%,100.00%,98.33%
1,Indianapolis,100.00%,100.00%,100.00%,100.00%,100.00%,97.87%
9,Buffalo,97.22%,85.71%,100.00%,100.00%,95.00%,96.77%
10,Dallas,96.77%,100.00%,100.00%,94.44%,100.00%,89.09%
10,Seattle,96.77%,100.00%,100.00%,100.00%,94.74%,93.62%
12,Baltimore,96.43%,100.00%,100.00%,100.00%,94.12%,100.00%
13,NY Jets,96.00%,100.00%,100.00%,92.86%,100.00%,85.19%
14,Tennessee,95.83%,85.71%,100.00%,100.00%,93.33%,91.67%
15,Las Vegas,95.65%,100.00%,100.00%,91.67%,100.00%,91.18%
15,Jacksonville,95.65%,100.00%,100.00%,88.89%,100.00%,81.82%
17,Philadelphia,94.44%,90.00%,80.00%,90.48%,100.00%,100.00%
18,Cincinnati,93.55%,100.00%,100.00%,93.33%,93.75%,96.36%
19,Detroit,93.33%,100.00%,100.00%,89.47%,100.00%,96.43%
20,San Francisco,93.10%,87.50%,100.00%,90.91%,94.44%,92.16%
21,Atlanta,92.86%,66.67%,100.00%,100.00%,81.82%,100.00%
22,Cleveland,92.31%,100.00%,100.00%,87.50%,100.00%,94.87%
22,Green Bay,92.31%,77.78%,75.00%,91.67%,92.86%,96.15%
24,Miami,90.91%,84.62%,100.00%,86.67%,94.44%,97.14%
24,Arizona,90.91%,100.00%,100.00%,91.67%,90.00%,95.92%
26,NY Giants,90.48%,71.43%,100.00%,83.33%,100.00%,100.00%
27,Carolina,90.00%,75.00%,100.00%,91.67%,87.50%,92.86%
28,Washington,89.47%,83.33%,50.00%,90.00%,88.89%,86.21%
29,Kansas City,88.89%,88.89%,100.00%,86.67%,90.48%,93.94%
30,Chicago,87.50%,87.50%,100.00%,76.92%,100.00%,96.43%
31,Denver,84.62%,100.00%,100.00%,66.67%,90.00%,97.06%
32,Minnesota,82.76%,75.00%,75.00%,88.89%,72.73%,90.00%
