Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Buffalo,96.00%,100.00%,100.00%,100.00%,94.12%,87.50%
2,Seattle,95.45%,100.00%,100.00%,100.00%,90.00%,73.91%
3,Chicago,95.24%,75.00%,100.00%,100.00%,93.75%,89.66%
3,LA Chargers,95.24%,100.00%,100.00%,88.89%,100.00%,88.89%
3,NY Giants,95.24%,100.00%,100.00%,91.67%,100.00%,87.88%
6,San Francisco,94.12%,100.00%,100.00%,91.67%,100.00%,86.84%
7,LA Rams,93.75%,100.00%,100.00%,83.33%,100.00%,90.91%
8,Baltimore,92.31%,88.89%,80.00%,100.00%,85.71%,94.59%
9,Las Vegas,92.00%,71.43%,66.67%,100.00%,88.24%,93.62%
9,Tampa Bay,92.00%,80.00%,100.00%,100.00%,85.71%,80.00%
11,Carolina,91.67%,100.00%,100.00%,93.75%,87.50%,92.86%
11,Philadelphia,91.67%,100.00%,100.00%,100.00%,83.33%,93.75%
13,Houston,90.48%,100.00%,100.00%,85.71%,92.86%,80.77%
14,Washington,90.00%,100.00%,100.00%,87.50%,91.67%,93.33%
15,Arizona,88.89%,80.00%,50.00%,80.00%,100.00%,81.58%
16,Green Bay,86.67%,80.00%,100.00%,87.50%,85.71%,78.79%
17,Dallas,86.36%,80.00%,0.00%,88.89%,84.62%,83.33%
18,Cleveland,85.00%,75.00%,50.00%,70.00%,100.00%,76.19%
19,Miami,84.21%,83.33%,100.00%,91.67%,71.43%,82.14%
19,Minnesota,84.21%,100.00%,100.00%,66.67%,100.00%,86.84%
21,Atlanta,83.33%,83.33%,66.67%,92.86%,70.00%,93.10%
21,New England,83.33%,66.67%,50.00%,81.25%,85.71%,92.50%
21,Denver,83.33%,83.33%,50.00%,84.62%,81.82%,86.67%
24,Tennessee,82.35%,80.00%,75.00%,84.62%,75.00%,81.82%
25,NY Jets,81.82%,80.00%,50.00%,76.92%,88.89%,77.78%
26,Indianapolis,81.48%,75.00%,100.00%,85.71%,76.92%,85.29%
27,Jacksonville,80.00%,62.50%,100.00%,88.89%,72.73%,77.78%
27,Cincinnati,80.00%,83.33%,100.00%,66.67%,85.71%,89.58%
29,Pittsburgh,78.57%,80.00%,100.00%,84.62%,73.33%,90.00%
29,Detroit,78.57%,75.00%,50.00%,85.71%,71.43%,86.67%
31,Kansas City,78.26%,100.00%,100.00%,78.57%,77.78%,86.49%
32,New Orleans,77.27%,75.00%,0.00%,91.67%,60.00%,83.33%
