Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,0.0,0.0,0.0,0.0,0.0,0.0
1,Washington,0.0,0.0,0.0,0.0,0.0,0.2
1,Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.0
1,Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0
1,Detroit,0.0,0.0,0.0,0.0,0.0,0.0
1,Chicago,0.0,0.0,0.0,0.0,0.0,0.1
1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.0
1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.0
1,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0
1,Houston,0.0,0.0,0.0,0.0,0.0,0.1
1,Arizona,0.0,0.0,0.0,0.0,0.0,0.0
1,New England,0.0,0.0,0.0,0.0,0.0,0.0
1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.0
1,Carolina,0.0,0.0,0.0,0.0,0.0,0.1
1,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.0
1,LA Rams,0.0,0.0,0.0,0.0,0.0,0.0
1,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.0
1,Seattle,0.0,0.0,0.0,0.0,0.0,0.0
19,Atlanta,0.1,0.0,0.0,0.2,0.0,0.0
19,New Orleans,0.1,0.0,0.0,0.0,0.2,0.0
19,Green Bay,0.1,0.0,0.0,0.2,0.0,0.2
19,Indianapolis,0.1,0.3,1.0,0.2,0.0,0.1
23,Miami,0.1,0.0,0.0,0.0,0.2,0.2
23,Tampa Bay,0.1,0.3,0.0,0.2,0.0,0.0
23,NY Giants,0.1,0.0,0.0,0.2,0.0,0.0
23,Baltimore,0.1,0.0,0.0,0.0,0.2,0.0
23,Philadelphia,0.1,0.0,0.0,0.2,0.0,0.1
28,Buffalo,0.2,0.0,0.0,0.3,0.1,0.0
29,San Francisco,0.2,0.0,0.0,0.2,0.2,0.0
29,Denver,0.2,0.3,0.0,0.4,0.0,0.1
29,Minnesota,0.2,0.0,0.0,0.3,0.0,0.0
32,Cleveland,0.3,0.3,0.0,0.2,0.4,0.1
