Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Baltimore,2.2,2.7,4.0,2.4,2.0,2.1
2,Las Vegas,2.1,1.7,2.0,2.0,2.1,2.4
2,Tampa Bay,2.1,1.3,1.0,2.2,2.0,1.5
4,New England,2.1,2.0,1.0,2.2,2.0,2.1
5,Pittsburgh,2.0,2.7,3.0,2.2,1.8,2.0
5,Buffalo,2.0,3.0,1.0,2.0,2.0,1.5
7,Seattle,1.9,1.3,2.0,2.4,1.5,1.0
8,Carolina,1.8,2.7,3.0,2.1,1.4,1.5
8,Indianapolis,1.8,2.0,1.0,2.0,1.7,1.7
10,Denver,1.8,1.7,1.0,2.2,1.5,1.5
10,LA Chargers,1.8,2.0,1.0,1.6,2.0,1.4
10,NY Giants,1.8,1.0,2.0,1.8,1.8,1.7
13,Dallas,1.7,1.3,0.0,1.3,2.2,1.7
13,Houston,1.7,1.7,1.0,1.2,2.2,1.2
15,Atlanta,1.7,1.7,2.0,2.2,1.2,1.6
15,Chicago,1.7,1.0,1.0,1.0,2.1,1.5
17,NY Jets,1.6,1.3,1.0,1.7,1.6,1.2
17,Kansas City,1.6,2.3,4.0,1.8,1.4,1.6
19,Cleveland,1.5,1.0,1.0,1.2,2.0,0.9
20,Washington,1.5,3.0,2.0,1.2,1.8,1.6
21,Jacksonville,1.5,1.7,2.0,1.6,1.3,1.2
21,San Francisco,1.5,2.0,2.0,2.2,0.8,1.7
21,Miami,1.5,1.7,3.0,1.8,1.0,1.4
21,Cincinnati,1.5,1.7,2.0,1.0,1.7,2.0
21,Minnesota,1.5,1.7,2.0,1.0,2.0,1.9
26,New Orleans,1.4,1.0,0.0,1.8,1.0,1.5
27,LA Rams,1.4,1.3,1.0,0.8,2.0,1.9
28,Arizona,1.3,1.3,1.0,1.3,1.3,1.7
29,Tennessee,1.3,1.3,3.0,2.2,0.5,1.5
30,Green Bay,1.1,1.3,2.0,1.4,0.9,1.4
31,Detroit,1.0,1.0,1.0,1.0,1.0,1.5
31,Philadelphia,1.0,1.0,2.0,1.0,1.0,1.7
