Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Cleveland,1.4,1.7,2.0,1.3,1.4,0.7
1,Philadelphia,1.4,1.0,2.0,1.2,1.6,0.7
3,Arizona,1.3,1.0,0.0,1.5,1.2,1.0
4,Detroit,1.2,1.3,3.0,1.3,1.0,1.2
5,Las Vegas,1.0,0.7,1.0,0.5,1.3,0.7
5,Jacksonville,1.0,1.3,2.0,1.2,0.8,1.1
5,LA Rams,1.0,2.0,3.0,0.8,1.2,0.5
8,Houston,0.9,1.7,1.0,1.2,0.7,0.5
9,Pittsburgh,0.8,0.3,0.0,0.6,1.0,0.7
10,Carolina,0.8,0.7,2.0,0.9,0.6,0.8
11,Denver,0.7,0.7,0.0,0.6,0.8,0.9
11,LA Chargers,0.7,0.0,0.0,0.4,1.0,1.3
13,Washington,0.7,1.3,1.0,0.3,1.0,0.9
14,NY Jets,0.6,0.7,0.0,0.8,0.4,0.8
14,Miami,0.6,0.7,1.0,0.7,0.6,0.7
16,Chicago,0.6,0.7,2.0,0.4,0.7,0.9
17,Dallas,0.5,0.7,0.0,0.5,0.6,0.8
17,Tampa Bay,0.5,0.3,1.0,0.4,0.7,0.6
17,Kansas City,0.5,0.3,0.0,0.7,0.4,0.6
17,Seattle,0.5,0.7,0.0,0.8,0.3,0.2
17,Minnesota,0.5,1.0,0.0,0.3,0.8,0.7
22,Buffalo,0.5,0.0,0.0,0.5,0.5,0.8
23,Green Bay,0.4,0.7,1.0,0.6,0.3,0.7
24,San Francisco,0.4,0.7,1.0,0.8,0.0,0.5
24,Tennessee,0.4,0.3,0.0,0.0,0.7,0.8
24,NY Giants,0.4,0.7,0.0,0.5,0.2,0.8
24,Baltimore,0.4,0.0,0.0,0.8,0.0,1.1
28,Indianapolis,0.3,0.7,2.0,0.5,0.2,1.1
29,Atlanta,0.3,0.3,0.0,0.2,0.3,0.6
29,New Orleans,0.3,0.0,0.0,0.2,0.3,0.6
29,New England,0.3,0.3,1.0,0.3,0.2,0.8
32,Cincinnati,0.2,0.0,0.0,0.3,0.1,0.7
