Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Arizona,2.7,2.0,1.0,2.3,3.0,1.7
2,Cleveland,2.5,3.7,4.0,2.3,2.6,1.7
3,Detroit,2.4,1.3,3.0,2.2,2.6,2.4
4,Jacksonville,2.0,1.7,3.0,2.6,1.5,1.8
5,Philadelphia,1.9,1.7,3.0,1.7,2.2,1.5
6,Las Vegas,1.7,1.7,2.0,1.0,2.1,1.2
6,LA Chargers,1.7,0.3,0.0,1.8,1.7,2.0
8,Green Bay,1.6,1.3,1.0,1.6,1.6,1.2
9,Denver,1.5,1.3,1.0,1.2,1.7,1.6
10,Miami,1.4,1.7,1.0,1.2,1.6,1.3
10,Houston,1.4,1.7,1.0,1.6,1.2,1.2
12,Washington,1.3,1.3,1.0,1.0,1.7,1.9
12,Chicago,1.3,1.3,3.0,1.4,1.3,2.1
12,Carolina,1.3,1.0,2.0,1.6,1.0,2.0
15,NY Jets,1.3,1.0,1.0,2.0,0.4,1.7
15,LA Rams,1.3,2.3,3.0,1.2,1.4,1.0
17,Pittsburgh,1.2,0.7,0.0,0.8,1.5,1.3
18,Dallas,1.1,1.3,1.0,1.2,1.0,1.4
18,Tampa Bay,1.1,1.0,1.0,1.0,1.2,1.1
20,Indianapolis,1.1,1.3,3.0,1.2,1.0,1.7
21,Buffalo,1.0,0.0,0.0,1.0,1.0,1.4
21,NY Giants,1.0,1.7,2.0,0.8,1.2,1.8
21,Seattle,1.0,1.0,0.0,1.4,0.7,0.6
24,San Francisco,0.9,1.0,2.0,1.4,0.5,1.1
24,Baltimore,0.9,0.3,1.0,1.6,0.3,1.6
24,Minnesota,0.9,1.7,0.0,0.7,1.2,1.3
27,Cincinnati,0.8,0.0,0.0,1.3,0.6,1.1
28,New England,0.8,1.0,1.0,0.8,0.7,1.2
29,Kansas City,0.7,0.3,0.0,0.7,0.8,0.8
30,New Orleans,0.7,0.7,1.0,0.7,0.7,1.2
31,Tennessee,0.6,0.7,0.0,0.2,1.0,1.4
32,Atlanta,0.6,1.3,1.0,0.2,1.0,1.4
