Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tennessee,284.7,284.3,269.0,277.6,290.7,152.0
2,Denver,275.5,321.7,367.0,269.2,280.7,181.4
3,Houston,252.6,288.3,350.0,268.4,239.5,241.6
4,Carolina,247.9,245.3,255.0,246.4,250.0,187.3
5,Tampa Bay,243.6,301.3,425.0,248.6,239.5,166.2
6,NY Jets,238.6,241.0,118.0,172.8,317.6,192.6
7,Washington,236.3,145.0,127.0,228.8,243.8,175.6
8,LA Rams,223.2,239.3,180.0,191.3,261.4,141.1
9,Minnesota,218.5,215.0,158.0,188.7,254.4,213.2
10,Pittsburgh,214.3,192.7,182.0,196.2,229.3,205.3
11,NY Giants,204.1,196.0,193.0,206.8,200.8,193.1
12,New Orleans,199.5,227.0,183.0,184.5,214.5,232.7
13,Indianapolis,191.6,167.0,150.0,152.7,230.5,154.5
14,Dallas,190.5,132.7,51.0,193.8,186.4,189.5
15,Arizona,187.6,189.3,150.0,204.3,170.8,154.5
16,New England,187.3,230.3,251.0,200.0,174.7,136.6
17,LA Chargers,180.8,193.7,234.0,184.4,177.8,124.9
18,Jacksonville,177.0,216.7,206.0,172.4,180.8,196.3
19,Chicago,176.5,177.7,244.0,171.2,180.3,168.5
20,Seattle,174.6,202.0,191.0,195.6,157.2,229.1
21,Atlanta,173.8,145.0,122.0,183.5,164.2,176.4
22,Las Vegas,165.5,190.7,91.0,190.8,151.0,183.4
23,Green Bay,164.8,144.0,83.0,185.0,150.4,150.1
24,Philadelphia,163.1,120.0,52.0,146.0,183.6,148.2
25,Cincinnati,160.1,180.3,259.0,132.5,175.9,178.0
26,San Francisco,156.6,175.0,175.0,125.2,182.8,162.9
27,Baltimore,156.3,165.7,53.0,148.8,162.5,185.2
28,Miami,155.6,115.7,296.0,210.0,90.4,205.2
29,Detroit,155.2,176.3,103.0,152.5,158.4,188.1
30,Cleveland,152.6,165.7,329.0,167.8,134.4,169.4
31,Kansas City,138.2,77.3,49.0,179.0,89.2,115.2
32,Buffalo,108.2,144.0,136.0,120.0,102.3,126.6
