Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Chicago,8.6,8.7,11.0,10.0,7.6,12.4
2,Atlanta,8.8,9.3,10.0,8.7,8.8,11.5
3,Seattle,8.8,9.3,10.0,9.8,8.0,10.1
4,Tennessee,9.4,11.3,12.0,11.4,7.7,10.3
5,New England,9.5,9.7,14.0,8.8,10.2,10.3
6,Philadelphia,9.5,9.3,12.0,9.2,10.0,11.5
7,NY Giants,10.4,11.7,14.0,10.8,9.8,14.2
8,San Francisco,10.9,9.7,11.0,11.4,10.5,10.1
9,Baltimore,11.1,11.7,16.0,9.2,12.7,12.6
10,Dallas,11.4,10.7,9.0,11.0,11.8,12.4
10,LA Rams,11.4,11.3,10.0,11.0,11.8,11.6
12,New Orleans,11.6,9.7,12.0,10.7,12.5,12.4
13,Carolina,11.7,8.7,8.0,10.7,13.0,14.8
14,Jacksonville,11.8,8.3,8.0,12.6,11.2,14.3
14,Cincinnati,11.8,12.0,15.0,11.3,12.1,10.3
16,Indianapolis,11.8,9.3,12.0,10.5,13.2,11.6
17,Detroit,12.0,10.0,14.0,13.2,10.6,11.6
17,Green Bay,12.0,9.7,8.0,11.6,12.3,11.1
19,Miami,12.1,11.3,18.0,12.2,12.0,12.4
19,Cleveland,12.1,13.3,14.0,12.0,12.2,11.8
21,Houston,12.6,14.0,13.0,11.8,13.3,11.3
22,Pittsburgh,12.7,12.3,8.0,12.0,13.3,14.1
23,Washington,12.9,11.0,9.0,13.3,12.5,11.4
24,Arizona,13.2,12.0,11.0,13.2,13.2,10.6
25,Las Vegas,13.4,13.0,11.0,11.8,14.3,12.4
25,Minnesota,13.4,13.3,7.0,11.2,16.0,12.1
27,Buffalo,13.7,12.7,11.0,13.5,13.8,13.4
28,Kansas City,13.9,12.7,15.0,14.8,12.8,13.0
28,LA Chargers,13.9,11.7,12.0,14.6,13.3,13.6
30,NY Jets,14.1,9.0,7.0,14.7,13.4,14.5
31,Tampa Bay,14.5,14.7,14.0,16.2,13.2,14.3
31,Denver,14.5,14.7,16.0,15.4,13.8,11.0
