Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Philadelphia,1.4,1.0,2.0,1.8,0.8,0.7
2,Pittsburgh,1.2,1.7,1.0,1.4,1.0,0.8
3,NY Jets,1.1,1.0,1.0,1.0,1.2,0.4
4,Buffalo,1.1,0.0,0.0,1.5,0.9,1.1
5,New England,1.0,0.3,0.0,0.7,1.3,1.3
5,Baltimore,1.0,1.0,0.0,1.2,0.8,0.5
7,Minnesota,0.9,0.7,0.0,0.7,1.2,0.9
8,Atlanta,0.8,0.7,1.0,1.0,0.7,0.7
9,Detroit,0.8,1.3,1.0,0.8,0.8,0.6
9,Jacksonville,0.8,0.3,0.0,0.6,1.0,0.4
9,San Francisco,0.8,1.0,0.0,1.0,0.7,0.6
9,Tennessee,0.8,0.3,0.0,1.0,0.7,0.9
9,Seattle,0.8,1.3,2.0,0.8,0.8,0.6
14,Chicago,0.8,0.0,0.0,0.6,0.9,0.5
15,LA Chargers,0.7,0.3,1.0,0.8,0.7,0.6
15,Cincinnati,0.7,0.7,0.0,1.0,0.6,1.0
17,Carolina,0.7,0.7,0.0,0.6,0.8,0.5
17,Green Bay,0.7,1.0,0.0,0.8,0.6,1.1
19,Dallas,0.6,0.0,0.0,0.8,0.4,1.5
19,Houston,0.6,0.0,0.0,0.4,0.8,1.0
19,Tampa Bay,0.6,0.3,1.0,0.4,0.8,1.0
22,Washington,0.6,1.3,1.0,0.5,0.7,0.6
22,Arizona,0.6,0.3,0.0,0.7,0.5,0.7
24,Miami,0.5,0.7,2.0,1.0,0.0,0.8
24,Kansas City,0.5,1.0,2.0,0.5,0.6,0.8
24,Denver,0.5,0.0,0.0,0.6,0.5,0.8
24,LA Rams,0.5,0.3,1.0,0.8,0.2,1.1
28,Las Vegas,0.4,0.3,1.0,0.5,0.3,0.3
28,NY Giants,0.4,1.0,2.0,0.3,0.4,0.9
30,Indianapolis,0.3,0.0,0.0,0.3,0.3,1.1
31,Cleveland,0.3,0.0,0.0,0.2,0.4,0.8
32,New Orleans,0.2,0.0,0.0,0.2,0.2,1.1
