Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Denver,244.3,274.0,323.0,241.8,246.3,168.8
2,Tennessee,239.7,235.7,219.0,228.4,249.2,137.4
3,Houston,226.0,273.0,328.0,234.8,218.7,216.1
4,Carolina,224.1,236.0,255.0,224.3,223.8,168.9
5,Washington,218.5,132.0,127.0,209.7,227.3,153.0
6,Tampa Bay,213.2,259.0,330.0,216.6,210.3,148.4
7,NY Jets,207.5,194.7,106.0,152.8,273.2,173.4
8,Minnesota,202.5,191.7,147.0,173.2,237.6,189.7
9,Pittsburgh,199.0,178.7,162.0,180.8,214.2,180.3
10,LA Rams,195.4,206.0,180.0,168.3,227.8,133.3
11,New Orleans,176.6,202.0,145.0,166.7,186.5,205.0
12,Indianapolis,175.1,144.3,132.0,137.0,213.2,137.6
13,LA Chargers,173.7,179.7,219.0,178.6,169.7,103.2
14,NY Giants,173.0,170.3,153.0,178.0,167.0,172.1
15,Dallas,167.7,120.0,48.0,173.7,160.6,175.4
16,New England,162.7,215.7,247.0,172.2,153.2,119.2
17,Seattle,160.3,196.0,180.0,175.0,148.0,203.6
18,Arizona,158.3,160.0,125.0,170.0,146.7,133.2
19,Chicago,153.3,148.0,206.0,143.8,160.1,140.6
20,Atlanta,153.2,138.3,122.0,158.7,147.7,156.6
21,Jacksonville,152.9,176.7,166.0,147.8,157.2,183.4
22,Green Bay,149.5,136.3,83.0,159.8,142.1,129.6
23,Philadelphia,146.8,107.7,52.0,130.8,166.0,131.7
24,Las Vegas,146.2,169.0,80.0,162.0,137.1,155.2
25,San Francisco,141.2,157.3,157.0,117.6,160.8,148.3
26,Cincinnati,138.5,159.3,217.0,103.8,158.3,159.7
27,Baltimore,134.6,150.7,33.0,131.6,137.2,167.1
28,Miami,132.5,81.3,195.0,173.3,83.6,183.9
29,Detroit,129.8,151.7,103.0,138.0,120.0,161.8
30,Kansas City,126.8,71.0,49.0,163.0,83.4,105.2
31,Cleveland,123.5,129.3,265.0,140.8,102.6,150.8
32,Buffalo,94.4,119.3,116.0,106.3,88.5,111.0
