Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tampa Bay,3.5,2.3,0.0,5.6,1.7,6.8
2,San Francisco,4.2,5.3,0.0,3.8,4.5,6.1
3,Buffalo,5.0,3.3,0.0,2.5,6.3,6.6
4,Philadelphia,5.4,7.3,6.0,5.3,5.4,6.3
5,Baltimore,5.5,4.3,10.0,4.8,6.0,7.1
6,Washington,5.6,2.3,7.0,7.5,3.7,8.1
7,Tennessee,5.7,6.7,10.0,5.4,6.0,6.4
8,Denver,5.9,5.7,3.0,3.2,8.2,5.5
9,NY Jets,6.0,5.7,7.0,7.3,4.4,10.0
10,New England,6.4,8.7,14.0,5.7,7.2,5.0
11,LA Chargers,6.5,8.0,10.0,6.6,6.3,6.8
12,LA Rams,6.6,9.0,6.0,7.3,5.8,6.7
13,NY Giants,6.8,8.0,7.0,6.5,7.2,9.0
14,Minnesota,7.3,9.7,6.0,6.7,8.0,8.6
15,Carolina,7.3,3.0,3.0,5.1,10.4,7.6
16,New Orleans,7.5,5.7,7.0,5.0,10.0,5.0
17,Houston,7.5,11.0,20.0,9.4,6.0,8.1
18,Green Bay,7.8,11.7,14.0,6.2,9.0,6.7
19,Dallas,7.9,8.0,10.0,7.2,8.8,5.7
19,Pittsburgh,7.9,6.7,3.0,7.4,8.3,8.0
21,Cleveland,8.1,7.7,3.0,8.7,7.4,6.0
22,Detroit,8.3,5.7,10.0,9.0,7.4,9.1
22,Kansas City,8.3,6.7,3.0,9.0,7.4,7.8
24,Arizona,8.3,10.3,14.0,7.8,8.8,8.2
25,Indianapolis,8.4,7.7,13.0,8.0,8.8,4.9
26,Jacksonville,8.6,9.7,3.0,5.6,11.2,7.6
27,Miami,8.7,4.7,0.0,4.5,13.8,6.1
28,Cincinnati,8.8,9.0,10.0,8.3,9.1,7.8
29,Las Vegas,9.0,6.3,10.0,6.3,10.6,7.6
30,Seattle,9.6,10.3,17.0,8.2,10.8,5.9
31,Atlanta,9.9,7.7,3.0,9.2,10.7,7.9
32,Chicago,10.7,9.0,10.0,7.6,12.9,6.1
