Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Buffalo,2.0,0.0,0.0,2.5,1.8,2.8
2,Jacksonville,2.4,3.3,3.0,0.6,3.8,6.8
3,Denver,2.6,5.7,7.0,1.8,3.3,4.2
3,Philadelphia,2.6,3.0,3.0,2.7,2.6,3.7
5,New Orleans,2.8,1.0,3.0,2.2,3.3,4.8
6,Dallas,2.9,0.0,0.0,3.7,2.0,4.0
7,Kansas City,3.0,1.0,0.0,3.3,2.6,3.8
8,Miami,3.1,5.7,6.0,3.2,3.0,3.6
9,Baltimore,3.3,2.0,0.0,4.6,2.2,4.8
10,Indianapolis,3.3,2.3,0.0,1.7,5.0,3.4
11,Washington,3.5,2.0,3.0,3.2,3.8,4.5
12,Cincinnati,3.5,4.3,3.0,2.5,4.1,2.5
13,Houston,3.8,4.7,0.0,2.8,4.7,6.1
14,Atlanta,3.8,4.0,6.0,1.5,6.2,5.6
15,Tampa Bay,3.9,3.0,0.0,6.0,2.2,4.9
16,New England,4.1,2.3,0.0,4.3,3.8,3.7
17,LA Rams,4.4,7.0,7.0,4.0,4.8,6.0
18,San Francisco,4.5,0.0,0.0,4.8,4.2,4.0
19,Carolina,4.5,2.0,0.0,3.3,6.2,6.5
20,Seattle,4.6,3.3,3.0,4.4,4.8,5.1
21,Pittsburgh,4.7,8.0,14.0,4.0,5.3,6.3
22,NY Jets,4.9,0.0,0.0,6.2,3.4,5.1
23,Chicago,5.1,7.0,14.0,4.6,5.4,5.5
24,Cleveland,5.5,9.7,7.0,5.2,5.8,4.4
25,LA Chargers,5.6,2.0,0.0,6.2,5.2,4.9
26,NY Giants,5.8,9.3,14.0,5.7,6.0,5.0
27,Las Vegas,5.9,4.3,7.0,5.8,6.0,2.9
28,Green Bay,6.1,9.0,7.0,8.8,4.1,2.8
29,Arizona,6.5,8.0,3.0,6.2,6.8,5.2
30,Tennessee,6.8,4.7,3.0,5.2,8.2,5.1
31,Minnesota,7.3,9.0,10.0,10.5,3.4,6.0
32,Detroit,8.7,5.3,2.0,10.8,6.2,6.6
