Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,NY Jets,3.0,3.3,0.0,1.0,5.4,8.8
2,San Francisco,3.4,0.0,0.0,3.2,3.5,6.7
3,Tennessee,3.8,2.3,7.0,5.4,2.5,5.7
4,Minnesota,3.9,2.0,0.0,1.5,6.8,7.0
5,Dallas,4.0,7.0,7.0,3.5,4.6,5.8
6,Cincinnati,4.2,8.0,3.0,4.3,4.1,6.4
7,Denver,4.3,5.0,6.0,3.6,4.8,5.1
8,Chicago,4.5,8.0,0.0,6.0,3.4,7.7
9,Buffalo,5.0,9.0,3.0,5.0,5.0,6.0
9,Indianapolis,5.0,9.3,8.0,6.3,3.7,8.6
11,New England,5.1,5.7,7.0,3.3,6.8,4.7
12,NY Giants,5.1,6.7,7.0,5.5,4.6,7.1
13,Green Bay,5.3,4.3,6.0,4.8,5.6,7.1
14,Las Vegas,5.3,6.3,7.0,7.3,4.1,9.7
15,Pittsburgh,5.7,3.3,0.0,6.0,5.5,6.4
16,Atlanta,5.8,5.3,3.0,9.7,2.0,8.5
17,Philadelphia,5.9,7.3,10.0,5.5,6.4,6.7
18,Washington,5.9,4.7,0.0,5.0,6.8,7.2
19,Tampa Bay,6.3,6.7,7.0,5.6,6.8,5.0
20,Seattle,6.6,7.0,7.0,2.6,10.0,6.6
21,Houston,6.8,2.0,0.0,7.6,6.2,8.2
22,Arizona,6.8,7.3,8.0,8.2,5.5,5.1
23,Miami,6.9,7.7,9.0,5.3,8.8,8.2
24,Jacksonville,7.0,5.0,15.0,6.4,7.5,5.5
25,Kansas City,7.2,7.0,7.0,6.2,8.4,6.9
25,LA Chargers,7.2,10.0,7.0,8.0,6.5,10.2
27,Detroit,7.5,9.0,9.0,5.7,9.8,6.8
28,New Orleans,8.0,5.3,0.0,9.2,6.8,5.1
29,LA Rams,8.2,6.3,6.0,9.7,6.4,5.8
30,Carolina,8.4,7.7,7.0,9.3,7.2,6.7
31,Cleveland,9.2,6.0,0.0,8.3,10.2,7.6
32,Baltimore,9.8,8.3,18.0,9.0,10.5,7.5
