Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Miami,17.0,14.7,14.0,17.8,16.0,22.8
2,Seattle,17.7,19.0,20.0,19.8,16.0,20.7
3,Arizona,18.0,18.3,19.0,14.7,21.3,21.6
4,New England,18.4,14.0,11.0,13.8,23.0,19.6
5,Baltimore,18.9,19.0,25.0,19.4,18.5,20.5
6,Minnesota,19.2,18.0,26.0,18.0,20.6,20.1
7,Buffalo,19.5,24.0,27.0,13.5,22.5,21.4
8,Kansas City,19.5,21.7,40.0,20.5,18.4,22.7
9,Houston,19.7,18.0,16.0,16.2,22.7,22.1
9,LA Chargers,19.7,16.0,10.0,16.8,22.2,21.8
9,NY Giants,19.7,19.7,12.0,21.8,17.2,22.4
12,Las Vegas,20.2,27.7,36.0,18.3,21.3,23.9
13,Detroit,20.4,17.7,21.0,21.0,19.6,21.0
13,Jacksonville,20.4,26.3,21.0,20.2,20.5,21.8
15,Atlanta,20.9,23.3,24.0,20.0,21.8,23.8
16,Tampa Bay,21.1,24.3,25.0,18.8,23.0,23.6
16,LA Rams,21.1,21.3,22.0,22.3,19.6,22.5
18,Dallas,21.2,21.0,23.0,17.5,25.6,23.2
19,Denver,21.5,18.7,11.0,24.4,19.0,25.9
20,Tennessee,22.3,27.7,27.0,21.8,22.7,19.9
20,Cincinnati,22.3,25.0,17.0,27.3,19.4,23.7
22,NY Jets,22.5,29.7,33.0,25.2,19.4,17.1
23,New Orleans,22.7,19.7,19.0,26.0,19.3,24.0
24,Chicago,23.1,23.3,30.0,18.8,26.1,21.0
25,Philadelphia,23.5,25.3,32.0,25.3,21.2,21.0
26,Carolina,23.7,26.3,26.0,26.0,20.4,22.8
27,San Francisco,24.5,30.0,28.0,27.0,22.5,26.7
28,Green Bay,24.8,21.7,20.0,26.0,23.9,22.5
29,Pittsburgh,24.9,28.3,29.0,28.8,21.7,22.8
30,Cleveland,26.8,27.3,27.0,25.3,28.6,21.4
31,Washington,26.8,38.7,46.0,27.3,26.3,21.1
32,Indianapolis,26.9,26.3,30.0,26.3,27.5,22.7
