Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Washington,27:14,23:50,26:51,27:37,26:50,29:16
2,Baltimore,27:39,25:26,27:21,27:52,27:29,27:47
3,Cleveland,27:54,29:04,25:21,27:32,28:21,29:11
4,Cincinnati,27:59,25:45,28:14,24:37,29:54,29:18
5,San Francisco,28:42,26:20,25:10,26:08,30:50,29:42
6,NY Giants,28:51,30:52,34:09,28:40,29:04,31:35
7,Philadelphia,28:52,31:49,24:26,28:05,29:49,30:14
8,Pittsburgh,29:15,26:06,25:38,29:15,29:15,30:39
9,Kansas City,29:26,30:30,27:34,29:36,29:15,29:09
10,Arizona,29:28,28:51,29:25,31:23,27:34,29:08
11,Chicago,29:34,29:14,32:05,29:11,29:50,29:40
12,Jacksonville,29:34,29:31,32:39,29:35,29:34,32:38
13,Buffalo,29:42,27:16,21:52,31:46,28:40,28:35
14,Green Bay,29:46,31:45,35:34,28:35,30:37,27:22
15,Miami,29:51,29:41,27:33,30:02,29:38,29:41
16,LA Rams,29:56,31:51,32:26,29:12,30:50,30:01
17,New England,30:03,32:58,38:08,31:18,28:48,29:35
18,Las Vegas,30:06,28:14,26:46,28:49,30:50,30:24
19,Tennessee,30:26,31:05,31:46,30:45,30:11,27:41
20,Denver,30:27,31:23,37:03,28:24,32:10,29:11
21,Indianapolis,30:33,31:34,34:22,29:41,31:26,28:05
22,LA Chargers,30:38,31:45,30:35,30:34,30:41,30:39
23,Minnesota,30:50,30:47,23:43,29:36,32:18,30:53
24,Dallas,30:56,27:04,25:51,32:07,29:32,29:52
25,Detroit,30:58,29:36,31:26,32:52,28:43,31:09
26,NY Jets,31:00,30:13,27:55,29:56,32:16,32:28
27,New Orleans,31:02,34:13,34:50,28:37,33:28,29:22
28,Atlanta,31:08,34:10,33:09,30:16,32:00,31:50
29,Tampa Bay,31:18,28:49,34:39,33:56,29:07,29:48
30,Seattle,31:52,31:52,33:14,31:53,31:52,34:42
31,Houston,31:54,33:34,32:27,32:28,31:26,31:45
32,Carolina,32:42,27:19,22:57,30:55,35:11,29:16
