Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,0.0,0.0,0.0,0.0,0.0,0.8
1,Atlanta,0.0,0.0,0.0,0.0,0.0,1.2
1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.8
1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.4
1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.4
1,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.7
1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.7
1,Baltimore,0.0,0.0,0.0,0.0,0.0,1.2
1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0
10,NY Giants,0.2,0.0,0.0,0.0,0.4,1.4
11,Miami,0.4,0.0,0.0,0.3,0.4,0.5
12,Arizona,0.6,0.0,0.0,0.0,1.2,1.0
12,New England,0.6,0.0,0.0,0.0,1.2,1.6
12,Buffalo,0.6,0.0,0.0,1.8,0.0,0.1
12,Green Bay,0.6,0.0,0.0,1.4,0.0,0.0
16,Pittsburgh,0.6,0.0,0.0,0.0,1.2,0.8
16,Las Vegas,0.6,0.0,0.0,1.8,0.0,1.2
16,Tennessee,0.6,0.0,0.0,0.0,1.2,0.0
16,Denver,0.6,0.0,0.0,0.0,1.2,1.2
16,LA Chargers,0.6,0.0,0.0,0.0,1.2,1.2
16,Cincinnati,0.6,0.0,0.0,1.8,0.0,1.0
22,Washington,0.8,0.0,0.0,1.2,0.3,0.8
23,San Francisco,1.0,0.0,0.0,0.4,1.5,0.1
24,Chicago,1.2,2.3,0.0,1.4,1.0,0.8
24,Carolina,1.2,0.0,0.0,1.0,1.4,0.9
24,Indianapolis,1.2,0.0,0.0,0.0,2.3,0.4
27,Seattle,1.5,2.3,0.0,1.4,1.5,0.4
27,Philadelphia,1.5,2.3,0.0,2.3,0.4,0.5
29,Houston,1.9,4.7,7.0,1.4,2.3,0.4
30,Detroit,2.1,0.7,2.0,2.7,1.4,0.8
30,LA Rams,2.1,0.0,0.0,2.7,1.4,1.7
32,New Orleans,2.3,0.0,0.0,1.2,3.5,1.2
