Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,0.0,0.0,0.0,0.0,0.0,0.1
1,Atlanta,0.0,0.0,0.0,0.0,0.0,0.2
1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.1
1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1
1,Miami,0.0,0.0,0.0,0.0,0.0,0.1
1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.1
1,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.1
1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.1
1,NY Giants,0.0,0.0,0.0,0.0,0.0,0.2
1,Baltimore,0.0,0.0,0.0,0.0,0.0,0.2
1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0
12,Washington,0.1,0.0,0.0,0.2,0.0,0.1
12,Arizona,0.1,0.0,0.0,0.0,0.2,0.1
12,New England,0.1,0.0,0.0,0.0,0.2,0.2
12,Buffalo,0.1,0.0,0.0,0.3,0.0,0.0
12,Green Bay,0.1,0.0,0.0,0.2,0.0,0.0
17,Pittsburgh,0.1,0.0,0.0,0.0,0.2,0.1
17,Las Vegas,0.1,0.0,0.0,0.3,0.0,0.2
17,San Francisco,0.1,0.0,0.0,0.0,0.2,0.0
17,Tennessee,0.1,0.0,0.0,0.0,0.2,0.0
17,Denver,0.1,0.0,0.0,0.0,0.2,0.2
17,LA Chargers,0.1,0.0,0.0,0.0,0.2,0.2
17,Cincinnati,0.1,0.0,0.0,0.3,0.0,0.1
24,Chicago,0.2,0.3,0.0,0.2,0.1,0.1
24,Carolina,0.2,0.0,0.0,0.1,0.2,0.1
24,Indianapolis,0.2,0.0,0.0,0.0,0.3,0.1
27,Seattle,0.2,0.3,0.0,0.2,0.2,0.1
27,Philadelphia,0.2,0.3,0.0,0.3,0.0,0.1
29,Detroit,0.3,0.0,0.0,0.3,0.2,0.1
29,Houston,0.3,0.7,1.0,0.2,0.3,0.1
29,LA Rams,0.3,0.0,0.0,0.3,0.2,0.2
32,New Orleans,0.3,0.0,0.0,0.2,0.5,0.2
