Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,1.3,2.0,2.0,1.0,1.6,1.9
2,Denver,1.4,1.7,2.0,0.6,2.0,1.7
3,San Francisco,1.6,0.7,0.0,1.6,1.7,2.2
3,Tennessee,1.6,1.3,2.0,1.2,2.0,1.9
5,Cincinnati,1.8,2.3,1.0,2.0,1.7,2.2
6,New England,1.8,2.3,3.0,1.8,1.8,2.1
6,Buffalo,1.8,1.7,1.0,1.8,1.9,1.7
6,Indianapolis,1.8,1.7,1.0,2.0,1.7,2.0
9,Jacksonville,1.9,2.3,1.0,1.2,2.5,2.9
9,NY Jets,1.9,1.3,1.0,2.0,1.8,3.1
9,Tampa Bay,1.9,1.3,2.0,2.4,1.5,2.1
12,New Orleans,2.0,1.7,1.0,2.2,1.8,1.8
12,NY Giants,2.0,3.0,4.0,1.7,2.4,2.6
12,Baltimore,2.0,1.0,2.0,2.4,1.7,2.5
15,Washington,2.1,1.7,1.0,2.2,2.0,2.7
16,Philadelphia,2.1,2.3,4.0,2.2,2.0,2.6
17,LA Rams,2.2,2.7,2.0,2.5,1.8,2.0
17,Minnesota,2.2,3.0,2.0,2.2,2.2,2.2
19,Kansas City,2.3,2.0,1.0,2.2,2.4,2.4
20,Atlanta,2.4,2.3,2.0,2.2,2.7,2.6
20,Carolina,2.4,1.3,1.0,2.0,3.0,2.1
22,Pittsburgh,2.5,2.3,2.0,2.0,2.8,2.6
22,Las Vegas,2.5,2.0,4.0,1.8,2.9,2.7
22,Miami,2.5,1.7,0.0,1.3,3.8,2.3
22,Houston,2.5,2.7,3.0,2.6,2.3,2.8
26,Green Bay,2.6,4.3,5.0,3.0,2.3,2.3
27,LA Chargers,2.6,2.7,3.0,2.4,2.8,2.6
28,Seattle,2.7,3.3,4.0,2.0,3.3,2.1
29,Cleveland,2.8,2.7,2.0,3.0,2.6,2.1
30,Chicago,3.0,3.7,4.0,2.4,3.4,2.6
30,Arizona,3.0,3.0,2.0,3.3,2.7,2.4
32,Detroit,3.2,3.0,3.0,3.3,3.0,2.6
