Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Detroit,85.71%,55.56%,66.67%,90.00%,80.00%,95.56%
2,New Orleans,87.50%,100.00%,100.00%,92.31%,81.82%,96.77%
3,San Francisco,88.89%,100.00%,--,100.00%,80.00%,95.35%
3,Tennessee,88.89%,75.00%,100.00%,100.00%,83.33%,85.71%
5,Atlanta,89.66%,71.43%,50.00%,92.31%,87.50%,86.67%
5,Carolina,89.66%,50.00%,100.00%,78.57%,100.00%,91.43%
7,Seattle,90.00%,100.00%,100.00%,90.00%,90.00%,86.11%
8,Cleveland,90.32%,75.00%,100.00%,94.44%,84.62%,94.29%
9,Jacksonville,90.48%,85.71%,100.00%,100.00%,86.67%,94.00%
9,NY Jets,90.48%,100.00%,100.00%,100.00%,77.78%,94.34%
11,New England,90.91%,85.71%,100.00%,90.91%,90.91%,86.49%
12,Pittsburgh,92.59%,100.00%,100.00%,100.00%,88.24%,93.62%
13,Denver,93.33%,100.00%,100.00%,100.00%,91.67%,96.55%
14,Green Bay,93.55%,84.62%,80.00%,93.33%,93.75%,95.12%
15,Arizona,94.44%,100.00%,100.00%,95.00%,93.75%,90.70%
16,Cincinnati,95.00%,100.00%,100.00%,87.50%,100.00%,95.65%
17,Buffalo,95.45%,100.00%,100.00%,85.71%,100.00%,96.88%
17,NY Giants,95.45%,100.00%,100.00%,100.00%,91.67%,95.45%
17,Baltimore,95.45%,100.00%,100.00%,100.00%,90.00%,92.86%
17,Indianapolis,95.45%,100.00%,100.00%,91.67%,100.00%,91.18%
21,Philadelphia,95.65%,85.71%,75.00%,92.31%,100.00%,85.11%
22,Washington,96.00%,100.00%,100.00%,100.00%,91.67%,93.48%
23,Las Vegas,96.30%,100.00%,100.00%,85.71%,100.00%,95.83%
23,Miami,96.30%,100.00%,--,87.50%,100.00%,97.44%
25,LA Chargers,96.55%,87.50%,100.00%,100.00%,94.12%,97.73%
26,Dallas,100.00%,100.00%,100.00%,100.00%,100.00%,91.18%
26,Chicago,100.00%,100.00%,100.00%,100.00%,100.00%,95.45%
26,Houston,100.00%,100.00%,100.00%,100.00%,100.00%,91.67%
26,Tampa Bay,100.00%,100.00%,100.00%,100.00%,100.00%,95.00%
26,Kansas City,100.00%,100.00%,100.00%,100.00%,100.00%,93.62%
26,LA Rams,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
26,Minnesota,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
