Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,1.3,2.0,2.0,1.0,1.6,1.7
1,Denver,1.3,1.7,2.0,0.6,1.8,1.6
3,San Francisco,1.5,0.7,0.0,1.6,1.3,2.1
3,Tennessee,1.5,1.0,2.0,1.2,1.7,1.7
5,New England,1.7,2.0,3.0,1.7,1.7,1.8
6,Jacksonville,1.7,2.0,1.0,1.2,2.2,2.8
6,NY Jets,1.7,1.3,1.0,2.0,1.4,2.9
6,Cincinnati,1.7,2.3,1.0,1.8,1.7,2.1
9,New Orleans,1.8,1.7,1.0,2.0,1.5,1.8
9,Buffalo,1.8,1.7,1.0,1.5,1.9,1.6
9,Indianapolis,1.8,1.7,1.0,1.8,1.7,1.8
12,Tampa Bay,1.9,1.3,2.0,2.4,1.5,2.0
12,NY Giants,1.9,3.0,4.0,1.7,2.2,2.5
12,Baltimore,1.9,1.0,2.0,2.4,1.5,2.3
15,Washington,2.0,1.7,1.0,2.2,1.8,2.5
15,Philadelphia,2.0,2.0,3.0,2.0,2.0,2.2
17,Atlanta,2.2,1.7,1.0,2.0,2.3,2.3
17,Carolina,2.2,0.7,1.0,1.6,3.0,1.9
19,LA Rams,2.2,2.7,2.0,2.5,1.8,2.0
19,Minnesota,2.2,3.0,2.0,2.2,2.2,2.2
21,Pittsburgh,2.3,2.3,2.0,2.0,2.5,2.4
21,Kansas City,2.3,2.0,1.0,2.2,2.4,2.2
23,Las Vegas,2.4,2.0,4.0,1.5,2.9,2.6
23,Miami,2.4,1.7,0.0,1.2,3.8,2.2
25,Green Bay,2.4,3.7,4.0,2.8,2.1,2.2
26,Houston,2.5,2.7,3.0,2.6,2.3,2.6
26,Seattle,2.5,3.3,4.0,1.8,3.0,1.8
28,Cleveland,2.5,2.0,2.0,2.8,2.2,1.9
28,LA Chargers,2.5,2.3,3.0,2.4,2.7,2.5
30,Detroit,2.7,1.7,2.0,3.0,2.4,2.5
31,Arizona,2.8,3.0,2.0,3.2,2.5,2.2
32,Chicago,3.0,3.7,4.0,2.4,3.4,2.5
