Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Miami,1.2,1.0,1.0,1.0,1.4,2.2
2,San Francisco,1.4,1.7,1.0,1.6,1.2,1.7
2,Tampa Bay,1.4,1.7,2.0,1.6,1.2,1.8
4,Jacksonville,1.5,2.3,5.0,2.4,0.7,2.1
5,Detroit,1.5,1.0,2.0,1.3,1.8,2.4
5,Tennessee,1.5,1.3,2.0,1.4,1.7,2.3
5,Philadelphia,1.5,3.3,2.0,1.7,1.4,1.4
8,Chicago,1.6,1.7,2.0,1.6,1.6,1.8
9,Kansas City,1.6,2.0,1.0,1.7,1.6,1.4
9,Seattle,1.6,1.3,3.0,2.4,1.0,1.9
11,Washington,1.7,1.3,3.0,1.7,1.7,1.7
11,Arizona,1.7,1.0,1.0,1.5,1.8,1.7
11,Green Bay,1.7,0.7,2.0,1.0,2.1,1.3
14,Buffalo,1.8,2.0,2.0,1.8,1.8,1.5
15,Baltimore,1.8,1.7,2.0,1.6,2.0,1.6
16,New England,1.8,1.3,1.0,1.5,2.2,1.8
17,Indianapolis,1.9,1.3,3.0,1.3,2.5,1.6
18,Atlanta,2.0,2.7,2.0,2.0,2.0,1.6
18,Pittsburgh,2.0,2.0,2.0,2.2,1.8,2.1
20,Carolina,2.1,1.7,2.0,2.0,2.2,2.2
21,Las Vegas,2.1,3.0,2.0,1.8,2.3,2.1
22,NY Jets,2.2,2.0,1.0,2.3,2.0,2.3
22,Houston,2.2,2.3,3.0,2.2,2.2,1.9
24,Dallas,2.3,1.7,2.0,2.3,2.2,2.1
24,Cleveland,2.3,3.0,1.0,1.7,3.0,1.6
26,LA Rams,2.4,2.7,4.0,1.7,3.2,2.0
26,Minnesota,2.4,3.7,4.0,2.7,2.0,2.4
28,LA Chargers,2.5,2.7,2.0,2.8,2.2,2.1
28,NY Giants,2.5,1.7,1.0,3.0,1.8,2.2
30,New Orleans,2.5,2.7,2.0,1.5,3.5,2.2
31,Denver,2.6,2.7,3.0,3.0,2.3,1.8
32,Cincinnati,2.9,2.3,4.0,2.3,3.3,1.8
