Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,1.0,1.3,0.0,1.2,0.8,1.3
2,Chicago,1.1,1.3,1.0,1.2,1.0,1.6
3,Miami,1.1,1.0,1.0,0.8,1.4,1.8
3,Tampa Bay,1.1,1.3,1.0,1.2,1.0,1.6
5,Buffalo,1.2,1.0,1.0,1.0,1.3,1.3
6,Detroit,1.3,1.0,2.0,1.2,1.4,2.1
6,Seattle,1.3,0.7,2.0,2.0,0.7,1.6
6,Philadelphia,1.3,3.0,2.0,1.5,1.0,1.2
9,Jacksonville,1.4,2.0,4.0,2.2,0.7,1.9
9,Tennessee,1.4,1.3,2.0,1.4,1.3,1.9
11,Las Vegas,1.5,2.3,2.0,1.3,1.6,1.7
11,Kansas City,1.5,1.3,1.0,1.3,1.6,1.2
13,Washington,1.5,1.0,2.0,1.3,1.7,1.6
13,Green Bay,1.5,0.7,2.0,0.8,2.0,1.2
15,NY Jets,1.5,1.0,1.0,1.8,1.2,2.1
16,Arizona,1.6,1.0,1.0,1.5,1.7,1.4
17,Pittsburgh,1.6,1.7,1.0,2.0,1.3,1.9
17,Baltimore,1.6,1.7,2.0,1.4,1.8,1.2
19,New England,1.7,1.3,1.0,1.3,2.0,1.2
19,Carolina,1.7,1.3,1.0,1.4,2.0,1.9
21,Atlanta,1.8,2.3,2.0,1.5,2.0,1.5
21,Indianapolis,1.8,1.3,3.0,1.2,2.3,1.3
23,Dallas,1.9,1.3,2.0,2.2,1.6,1.8
23,Houston,1.9,2.3,3.0,1.6,2.2,1.6
23,Minnesota,1.9,3.7,4.0,2.3,1.4,2.0
26,Cleveland,2.0,3.0,1.0,1.2,3.0,1.5
26,LA Chargers,2.0,2.3,1.0,2.8,1.3,1.9
28,NY Giants,2.1,1.3,0.0,2.7,1.4,2.0
28,LA Rams,2.1,2.7,4.0,1.5,2.8,1.7
30,New Orleans,2.3,2.0,2.0,1.5,3.0,1.8
31,Denver,2.5,2.3,3.0,2.8,2.3,1.4
31,Cincinnati,2.5,2.0,3.0,1.8,3.0,1.4
