Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Cincinnati,0.2,0.3,0.0,0.3,0.1,0.4
2,Chicago,0.3,0.7,0.0,0.4,0.1,0.7
2,Carolina,0.3,0.0,0.0,0.3,0.2,0.7
4,Denver,0.4,0.7,2.0,0.2,0.5,0.6
4,LA Chargers,0.4,0.3,0.0,0.6,0.2,0.4
6,New England,0.4,0.0,0.0,0.0,0.8,0.9
7,Las Vegas,0.5,0.0,0.0,1.3,0.0,1.2
7,San Francisco,0.5,0.0,0.0,0.4,0.5,0.6
7,Cleveland,0.5,0.7,1.0,0.3,0.6,0.9
10,Arizona,0.5,0.7,0.0,0.5,0.5,0.8
11,Dallas,0.5,0.3,0.0,0.5,0.6,0.9
11,NY Jets,0.5,0.7,2.0,0.5,0.6,0.8
11,NY Giants,0.5,0.0,0.0,0.3,0.8,0.9
14,Atlanta,0.6,0.3,1.0,0.7,0.5,0.6
14,New Orleans,0.6,1.0,1.0,0.5,0.7,0.5
14,Green Bay,0.6,1.7,2.0,0.6,0.6,0.8
17,Jacksonville,0.6,0.7,0.0,0.2,1.0,0.8
17,Minnesota,0.6,0.0,0.0,0.8,0.4,0.9
19,Washington,0.7,1.3,0.0,0.5,0.8,0.7
20,Detroit,0.7,0.7,0.0,0.8,0.6,0.5
20,Tampa Bay,0.7,1.3,2.0,0.2,1.2,0.7
20,LA Rams,0.7,1.0,0.0,0.7,0.8,1.0
20,Seattle,0.7,0.3,1.0,0.4,1.0,0.8
20,Philadelphia,0.7,0.7,1.0,1.0,0.4,0.8
25,Indianapolis,0.8,0.7,0.0,0.8,0.7,0.7
26,Houston,0.8,1.0,1.0,1.2,0.5,0.6
27,Pittsburgh,0.9,0.7,2.0,0.6,1.2,0.7
27,Miami,0.9,1.3,1.0,1.2,0.6,0.6
29,Baltimore,1.1,1.0,2.0,0.8,1.3,0.6
30,Buffalo,1.3,1.7,1.0,1.0,1.4,1.1
31,Tennessee,1.3,0.7,0.0,1.4,1.2,0.8
32,Kansas City,1.4,1.7,3.0,1.8,0.8,1.3
