Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,NY Giants,1.9,1.3,1.0,2.3,1.4,1.0
1,Seattle,1.9,1.3,1.0,2.2,1.7,1.1
3,Chicago,1.6,1.7,2.0,1.6,1.6,1.2
4,Dallas,1.5,2.0,1.0,1.5,1.6,0.8
4,Denver,1.5,1.3,2.0,1.8,1.3,0.7
6,Arizona,1.5,1.0,1.0,1.5,1.5,1.6
7,Houston,1.5,0.7,1.0,2.2,0.8,1.5
7,Baltimore,1.5,1.3,2.0,1.4,1.5,0.8
9,New England,1.4,0.7,1.0,1.5,1.3,0.8
9,Buffalo,1.4,2.3,2.0,1.5,1.4,1.3
11,NY Jets,1.4,1.7,2.0,1.5,1.2,1.5
11,Philadelphia,1.4,1.3,0.0,1.7,1.0,0.9
11,Minnesota,1.4,1.3,1.0,1.3,1.4,0.9
14,Jacksonville,1.3,2.3,3.0,1.2,1.3,0.7
14,Tennessee,1.3,1.3,0.0,1.4,1.2,1.2
14,Cleveland,1.3,0.3,0.0,1.0,1.6,1.4
14,LA Chargers,1.3,1.3,1.0,1.8,0.8,1.4
18,Detroit,1.2,1.0,1.0,1.0,1.4,1.0
18,San Francisco,1.2,1.3,2.0,1.4,1.0,1.8
18,Miami,1.2,1.7,3.0,2.0,0.2,1.2
21,Indianapolis,1.2,1.3,0.0,1.3,1.0,1.5
22,Tampa Bay,1.1,1.3,0.0,1.2,1.0,1.6
22,LA Rams,1.1,1.0,1.0,1.5,0.6,1.0
24,Carolina,1.1,0.7,2.0,1.6,0.4,1.5
25,Washington,1.0,1.0,0.0,0.8,1.2,1.1
25,Kansas City,1.0,0.3,0.0,0.3,1.8,1.4
25,Cincinnati,1.0,1.0,1.0,0.8,1.1,1.2
28,New Orleans,0.9,0.3,0.0,0.8,1.0,0.9
29,Pittsburgh,0.9,1.7,3.0,0.8,1.0,1.4
30,Green Bay,0.8,1.0,2.0,0.6,1.0,1.1
31,Las Vegas,0.8,1.7,1.0,0.8,0.9,1.2
32,Atlanta,0.6,0.7,0.0,1.0,0.2,1.3
