Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Atlanta,28.57%,100.00%,--,33.33%,0.00%,63.64%
2,Washington,41.67%,0.00%,--,80.00%,14.29%,55.56%
3,Baltimore,43.75%,50.00%,50.00%,42.86%,44.44%,53.85%
4,Kansas City,45.45%,0.00%,--,50.00%,44.44%,46.43%
5,Philadelphia,46.67%,50.00%,--,40.00%,60.00%,76.47%
5,Minnesota,46.67%,50.00%,100.00%,62.50%,28.57%,46.67%
7,Dallas,47.06%,50.00%,100.00%,55.56%,37.50%,42.86%
8,Jacksonville,50.00%,28.57%,33.33%,50.00%,50.00%,83.33%
8,LA Chargers,50.00%,25.00%,0.00%,66.67%,20.00%,56.52%
8,Indianapolis,50.00%,50.00%,--,50.00%,50.00%,46.15%
11,NY Giants,52.38%,75.00%,100.00%,50.00%,57.14%,58.82%
11,Seattle,52.38%,75.00%,100.00%,45.45%,60.00%,63.16%
13,New Orleans,54.55%,100.00%,--,40.00%,66.67%,56.25%
13,Cincinnati,54.55%,66.67%,100.00%,66.67%,50.00%,64.00%
15,Las Vegas,55.56%,60.00%,0.00%,33.33%,66.67%,57.14%
16,New England,58.82%,50.00%,0.00%,66.67%,50.00%,50.00%
16,Buffalo,58.82%,57.14%,100.00%,50.00%,63.64%,54.17%
18,Green Bay,60.00%,66.67%,50.00%,66.67%,57.14%,57.89%
19,Arizona,61.11%,66.67%,100.00%,77.78%,44.44%,50.00%
20,Detroit,61.54%,66.67%,100.00%,66.67%,57.14%,52.94%
20,San Francisco,61.54%,50.00%,0.00%,28.57%,100.00%,66.67%
20,Miami,61.54%,60.00%,66.67%,58.33%,100.00%,40.00%
23,Cleveland,64.29%,100.00%,--,33.33%,87.50%,75.00%
24,Tampa Bay,66.67%,75.00%,--,83.33%,50.00%,45.16%
24,LA Rams,66.67%,66.67%,0.00%,66.67%,66.67%,68.18%
26,Chicago,68.42%,60.00%,100.00%,87.50%,54.55%,60.00%
27,Houston,68.75%,50.00%,0.00%,63.64%,80.00%,68.00%
28,Carolina,69.23%,0.00%,0.00%,63.64%,100.00%,73.08%
29,Pittsburgh,70.00%,80.00%,66.67%,100.00%,50.00%,60.00%
30,Denver,70.59%,50.00%,50.00%,77.78%,62.50%,50.00%
31,Tennessee,71.43%,100.00%,--,71.43%,71.43%,71.43%
32,NY Jets,80.00%,100.00%,100.00%,77.78%,83.33%,73.08%
