Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,3.7,2.7,1.0,3.6,3.8,4.7
2,Buffalo,4.2,4.7,3.0,3.8,4.4,4.2
3,NY Jets,4.3,3.3,3.0,4.8,3.6,6.4
3,Tampa Bay,4.3,4.3,5.0,4.8,3.8,4.8
3,Philadelphia,4.3,6.0,7.0,4.5,4.0,5.1
6,Dallas,4.4,4.0,4.0,4.3,4.4,5.0
7,Tennessee,4.5,4.0,5.0,4.2,4.7,5.0
8,New England,4.5,4.7,5.0,4.0,5.0,4.4
9,Baltimore,4.6,3.7,6.0,4.6,4.7,5.0
10,Washington,4.7,3.7,4.0,4.7,4.7,5.4
11,Miami,4.7,4.7,4.0,3.5,6.2,4.9
12,Jacksonville,4.8,5.7,7.0,4.6,5.0,5.8
12,Denver,4.8,5.0,6.0,4.4,5.2,4.4
12,Cincinnati,4.8,5.0,5.0,4.3,5.1,4.9
15,Carolina,4.9,3.0,3.0,4.4,5.6,5.4
16,Indianapolis,5.0,4.7,6.0,4.7,5.3,4.6
17,Las Vegas,5.1,6.3,8.0,4.5,5.4,5.8
17,NY Giants,5.1,5.3,5.0,5.3,4.8,5.5
17,Seattle,5.1,5.0,7.0,4.8,5.3,4.9
20,Chicago,5.2,5.7,6.0,4.8,5.4,5.3
21,Kansas City,5.2,4.3,3.0,4.8,5.6,4.9
22,Pittsburgh,5.3,5.0,4.0,5.0,5.5,5.5
22,Houston,5.3,5.7,6.0,5.4,5.2,5.8
24,Green Bay,5.3,6.0,8.0,5.0,5.6,4.4
25,Minnesota,5.4,7.7,7.0,5.7,5.0,5.5
26,LA Rams,5.5,6.3,7.0,5.3,5.6,4.8
27,Atlanta,5.5,5.7,5.0,5.2,5.8,5.7
27,New Orleans,5.5,4.7,4.0,5.0,6.0,4.6
29,Arizona,5.6,5.3,5.0,6.0,5.2,4.8
30,Detroit,5.7,5.0,5.0,6.0,5.4,5.9
31,LA Chargers,5.8,6.0,5.0,6.6,5.2,5.6
32,Cleveland,5.9,7.0,4.0,5.2,6.8,5.0
