Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Detroit,116.0,135.0,143.0,97.7,138.0,110.5
2,Atlanta,123.3,149.7,127.0,147.5,99.0,131.5
3,Chicago,139.9,122.0,106.0,176.6,113.7,137.9
4,Las Vegas,140.3,155.0,180.0,127.8,147.4,163.0
5,LA Chargers,140.5,116.3,125.0,115.6,161.2,115.1
6,Jacksonville,144.4,95.0,33.0,149.0,140.5,153.1
7,Seattle,145.0,155.7,80.0,121.8,164.3,165.4
8,Cleveland,150.0,143.0,330.0,172.8,122.6,175.8
9,Minnesota,151.5,116.7,112.0,120.2,189.0,158.5
10,Buffalo,153.2,146.7,247.0,157.8,150.9,166.0
11,New England,160.2,204.0,116.0,174.0,146.3,120.2
12,LA Rams,160.4,153.7,49.0,151.8,170.6,161.9
13,Miami,161.8,145.3,328.0,199.8,116.2,177.5
14,Kansas City,163.8,183.3,180.0,194.5,127.0,134.8
14,Baltimore,163.8,219.3,166.0,146.0,178.7,193.4
16,Pittsburgh,167.9,171.3,132.0,186.8,152.2,171.6
17,Green Bay,168.3,125.3,52.0,202.2,144.1,145.1
18,Houston,168.5,195.7,195.0,179.6,159.3,135.6
19,Philadelphia,169.7,113.3,83.0,135.3,211.0,153.9
20,Arizona,170.7,198.0,219.0,143.0,198.3,146.3
21,Dallas,175.0,202.0,153.0,167.2,184.4,167.4
22,NY Giants,175.6,162.0,48.0,188.8,159.8,153.8
23,Cincinnati,178.3,229.3,219.0,231.0,148.1,167.5
24,NY Jets,180.0,195.0,206.0,157.3,207.2,132.3
25,New Orleans,181.5,175.3,157.0,202.2,160.8,190.3
26,Carolina,190.8,243.7,323.0,190.4,191.4,182.6
27,San Francisco,196.5,164.3,145.0,155.8,230.5,172.3
28,Indianapolis,197.3,190.3,162.0,177.0,217.5,148.2
29,Tennessee,209.5,244.7,217.0,216.6,203.7,155.1
30,Washington,215.2,171.7,122.0,223.8,206.5,160.6
31,Tampa Bay,238.5,304.3,265.0,235.6,241.0,170.6
32,Denver,240.3,264.3,255.0,268.4,216.8,154.8
