Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,100.0%,100.0%,100.0%,100.0%,100.0%,96.3%
1,Atlanta,100.0%,100.0%,100.0%,100.0%,100.0%,92.4%
1,Jacksonville,100.0%,100.0%,100.0%,100.0%,100.0%,90.9%
1,Cleveland,100.0%,100.0%,100.0%,100.0%,100.0%,98.2%
1,Tampa Bay,100.0%,100.0%,100.0%,100.0%,100.0%,96.5%
1,Kansas City,100.0%,100.0%,100.0%,100.0%,100.0%,95.3%
1,Baltimore,100.0%,100.0%,100.0%,100.0%,100.0%,93.0%
1,Minnesota,100.0%,100.0%,100.0%,100.0%,100.0%,96.7%
9,NY Giants,99.1%,100.0%,100.0%,100.0%,98.2%,94.5%
10,Arizona,97.8%,100.0%,100.0%,100.0%,95.3%,93.8%
11,LA Chargers,97.5%,100.0%,100.0%,100.0%,95.1%,95.4%
12,Las Vegas,97.5%,100.0%,100.0%,92.9%,100.0%,94.0%
13,Pittsburgh,97.3%,100.0%,100.0%,100.0%,95.5%,96.9%
14,Buffalo,96.7%,100.0%,100.0%,88.5%,100.0%,97.4%
15,Tennessee,96.6%,100.0%,100.0%,100.0%,94.3%,100.0%
16,NY Jets,96.5%,81.1%,100.0%,100.0%,91.4%,98.6%
17,Denver,96.4%,100.0%,100.0%,100.0%,94.4%,89.2%
18,Washington,96.2%,100.0%,100.0%,94.3%,98.3%,95.2%
19,Miami,95.7%,100.0%,100.0%,97.9%,94.5%,97.6%
20,Green Bay,95.1%,100.0%,100.0%,88.0%,100.0%,96.4%
21,Carolina,94.8%,100.0%,100.0%,94.8%,94.8%,94.4%
22,Seattle,94.3%,91.6%,100.0%,93.5%,94.9%,98.1%
23,Indianapolis,94.3%,100.0%,100.0%,100.0%,88.2%,98.1%
24,Cincinnati,93.9%,89.6%,56.3%,90.9%,95.5%,95.4%
25,New England,93.9%,88.5%,100.0%,100.0%,89.0%,90.3%
26,Detroit,92.7%,97.5%,93.1%,91.3%,94.7%,97.0%
27,Philadelphia,92.7%,91.6%,100.0%,88.8%,97.9%,97.9%
28,Houston,91.9%,81.8%,76.7%,94.3%,89.8%,98.5%
29,Chicago,90.8%,84.3%,100.0%,87.2%,92.9%,96.6%
30,New Orleans,90.1%,100.0%,100.0%,94.7%,86.2%,93.8%
31,San Francisco,89.8%,100.0%,--,88.2%,91.1%,97.8%
32,LA Rams,88.1%,100.0%,100.0%,84.5%,93.3%,92.1%
