Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,14.5,8.7,0.0,13.4,15.3,20.2
2,Buffalo,16.9,19.3,10.0,13.5,18.6,17.9
3,Dallas,17.2,18.0,20.0,17.0,17.4,20.5
3,Denver,17.2,21.0,23.0,14.0,19.8,17.0
5,NY Jets,17.4,10.0,10.0,19.5,14.8,29.4
6,New England,17.8,18.0,24.0,16.8,18.8,18.1
7,Tennessee,18.1,15.7,20.0,16.8,19.2,21.0
8,Philadelphia,18.5,25.3,34.0,18.5,18.4,23.1
9,Tampa Bay,18.5,18.0,24.0,21.8,15.8,20.2
10,Washington,19.1,14.7,13.0,19.2,19.0,24.5
11,Indianapolis,19.3,20.3,23.0,21.0,17.5,21.2
12,Cincinnati,19.7,20.0,9.0,17.5,21.0,21.0
13,LA Rams,20.3,26.7,26.0,20.8,19.6,19.5
14,Baltimore,20.8,14.3,27.0,21.0,20.7,21.8
15,NY Giants,20.9,25.0,28.0,19.7,22.4,23.3
16,Jacksonville,21.3,24.7,26.0,16.4,25.3,24.6
17,New Orleans,21.3,17.7,13.0,20.8,21.8,18.6
17,Carolina,21.3,13.3,10.0,18.3,25.6,22.9
19,Houston,21.6,21.0,23.0,23.0,20.5,26.4
20,Kansas City,22.2,18.0,10.0,20.3,24.4,21.5
21,Miami,22.4,21.7,17.0,15.3,30.8,21.5
22,Green Bay,22.6,32.3,41.0,20.6,24.0,20.6
23,Chicago,23.1,25.0,31.0,19.0,26.0,23.3
24,Pittsburgh,23.4,21.3,17.0,21.4,25.0,23.9
25,Minnesota,23.5,32.0,26.0,24.5,22.4,24.1
26,Seattle,24.2,25.3,41.0,20.0,27.7,21.2
27,Atlanta,24.5,23.3,20.0,23.2,25.8,25.2
28,Las Vegas,24.7,25.7,34.0,23.0,25.7,24.2
29,LA Chargers,25.1,25.7,24.0,28.0,22.7,25.8
30,Arizona,26.3,26.3,24.0,29.0,23.7,20.9
31,Cleveland,26.4,30.0,17.0,24.5,28.6,21.9
32,Detroit,26.7,26.3,27.0,28.0,25.2,26.9
