Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Denver,1.4,2.0,2.0,0.8,1.8,1.8
2,Dallas,1.6,2.0,2.0,1.5,1.8,2.2
2,San Francisco,1.6,0.7,0.0,1.4,1.8,2.4
4,Cincinnati,1.7,2.0,0.0,1.8,1.7,2.4
5,NY Jets,1.8,1.0,1.0,2.0,1.6,3.3
6,New England,1.8,2.0,3.0,1.8,1.8,2.1
7,Buffalo,1.9,2.3,1.0,1.5,2.1,2.0
8,Tennessee,2.0,1.7,2.0,1.8,2.2,2.2
8,LA Rams,2.0,2.7,2.0,2.3,1.6,2.0
8,Indianapolis,2.0,2.3,2.0,2.5,1.5,2.5
11,Washington,2.1,1.7,1.0,2.2,2.0,2.8
11,New Orleans,2.1,1.7,1.0,2.3,1.8,1.9
13,NY Giants,2.1,3.0,4.0,1.7,2.6,2.5
13,Philadelphia,2.1,2.3,4.0,2.0,2.2,2.8
15,Tampa Bay,2.2,2.0,3.0,2.6,1.8,2.2
16,Houston,2.3,2.0,2.0,2.6,2.0,3.1
16,Baltimore,2.3,1.3,3.0,2.4,2.2,2.6
18,Carolina,2.3,1.3,1.0,2.0,2.8,2.5
19,Jacksonville,2.5,2.7,2.0,1.4,3.3,2.7
20,Kansas City,2.5,2.0,1.0,2.3,2.8,2.6
20,Minnesota,2.5,3.0,2.0,2.5,2.6,2.6
22,Green Bay,2.6,4.3,5.0,2.6,2.6,2.4
23,Pittsburgh,2.6,2.3,2.0,2.2,3.0,2.6
24,Miami,2.7,2.7,2.0,1.8,3.8,2.3
24,LA Chargers,2.7,2.7,3.0,2.8,2.7,2.9
26,Atlanta,2.8,2.3,2.0,2.7,2.8,2.9
27,Chicago,2.8,3.0,4.0,2.2,3.3,2.6
28,Las Vegas,2.9,2.7,4.0,2.8,3.0,2.7
28,Cleveland,2.9,3.0,2.0,3.0,2.8,2.5
28,Seattle,2.9,3.3,5.0,2.0,3.7,2.4
31,Arizona,3.1,3.3,3.0,3.5,2.7,2.4
32,Detroit,3.3,3.3,3.0,3.5,3.0,2.9
