Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Green Bay,47.70%,45.95%,20.69%,45.98%,48.68%,57.59%
2,New Orleans,48.93%,46.97%,57.14%,54.90%,44.27%,60.86%
3,Dallas,49.28%,50.88%,52.38%,50.43%,47.87%,57.76%
4,Denver,49.51%,56.60%,47.37%,57.14%,44.80%,61.54%
5,Chicago,50.41%,50.77%,63.64%,48.94%,51.32%,52.96%
6,Indianapolis,51.32%,44.83%,45.45%,46.77%,56.73%,63.77%
7,Cleveland,52.51%,52.24%,56.25%,60.68%,43.14%,56.27%
8,NY Jets,52.97%,54.35%,50.00%,51.92%,54.08%,58.35%
9,Carolina,54.29%,52.83%,57.14%,56.30%,51.82%,54.66%
10,Houston,54.32%,56.25%,72.00%,53.91%,54.69%,57.07%
11,Detroit,54.89%,54.17%,57.14%,57.72%,51.28%,56.72%
12,NY Giants,55.46%,52.11%,50.00%,49.60%,61.95%,59.18%
13,Philadelphia,56.16%,51.72%,63.16%,56.30%,56.00%,58.27%
14,Seattle,56.25%,54.41%,51.85%,59.00%,54.29%,60.00%
15,Cincinnati,56.35%,66.67%,80.00%,57.63%,55.80%,63.81%
16,Washington,56.52%,46.81%,33.33%,56.76%,56.25%,63.58%
17,Jacksonville,56.71%,57.58%,41.67%,48.35%,62.14%,56.41%
18,Miami,57.14%,45.61%,64.29%,63.39%,50.48%,59.05%
19,Buffalo,57.61%,61.90%,50.00%,58.75%,57.06%,51.34%
20,Atlanta,58.17%,32.76%,40.00%,57.72%,58.57%,55.87%
21,Las Vegas,58.19%,59.02%,68.18%,51.85%,61.59%,58.86%
22,LA Chargers,58.56%,53.85%,50.00%,64.08%,53.78%,51.96%
23,Tampa Bay,59.69%,62.00%,45.45%,58.33%,61.00%,63.09%
24,San Francisco,61.54%,60.00%,57.14%,70.59%,53.61%,57.56%
25,Minnesota,61.60%,60.87%,82.35%,63.41%,59.65%,57.29%
26,New England,61.90%,66.67%,68.18%,53.13%,69.30%,56.08%
27,Arizona,61.92%,70.49%,81.82%,63.70%,59.65%,57.67%
28,Tennessee,62.62%,59.26%,52.38%,54.55%,69.57%,62.36%
29,Pittsburgh,65.45%,72.55%,57.89%,66.29%,64.89%,53.95%
30,LA Rams,65.50%,68.18%,68.97%,59.18%,71.57%,62.62%
31,Kansas City,65.58%,65.38%,61.54%,61.54%,69.37%,58.69%
31,Baltimore,65.58%,75.00%,88.89%,61.00%,69.57%,68.24%
