Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Houston,35.71%,37.50%,33.33%,35.71%,35.71%,50.94%
2,Chicago,39.47%,45.45%,75.00%,38.46%,40.00%,65.96%
3,San Francisco,45.00%,50.00%,--,50.00%,41.67%,58.33%
4,Detroit,46.15%,50.00%,66.67%,47.83%,43.75%,59.62%
5,NY Jets,47.62%,25.00%,100.00%,66.67%,22.22%,49.12%
5,Cincinnati,47.62%,42.86%,0.00%,62.50%,38.46%,64.15%
7,New Orleans,48.28%,60.00%,100.00%,66.67%,28.57%,57.14%
8,Cleveland,50.00%,66.67%,100.00%,61.11%,35.71%,67.44%
8,Carolina,50.00%,75.00%,100.00%,60.00%,40.00%,57.78%
8,Indianapolis,50.00%,42.86%,0.00%,40.00%,63.64%,74.42%
11,Philadelphia,52.00%,37.50%,75.00%,57.14%,45.45%,58.82%
12,NY Giants,52.17%,33.33%,50.00%,40.00%,61.54%,60.00%
13,Seattle,52.94%,63.64%,60.00%,45.45%,56.52%,58.54%
14,Atlanta,54.55%,42.86%,100.00%,43.75%,64.71%,56.36%
14,Green Bay,54.55%,61.54%,40.00%,46.67%,61.11%,67.39%
16,Miami,54.84%,62.50%,50.00%,72.73%,45.00%,57.50%
17,Denver,56.25%,83.33%,50.00%,75.00%,50.00%,61.11%
18,Minnesota,57.14%,55.56%,100.00%,60.00%,53.85%,63.04%
19,Las Vegas,57.58%,37.50%,50.00%,50.00%,61.90%,58.49%
20,LA Rams,57.69%,62.50%,50.00%,52.94%,66.67%,45.83%
21,LA Chargers,58.06%,62.50%,66.67%,78.57%,41.18%,51.92%
22,Buffalo,62.50%,85.71%,100.00%,42.86%,70.59%,43.59%
23,Jacksonville,62.96%,87.50%,50.00%,57.14%,65.00%,46.15%
24,Arizona,63.16%,80.00%,100.00%,66.67%,58.82%,69.57%
25,Baltimore,64.00%,100.00%,100.00%,66.67%,61.54%,64.58%
26,Dallas,66.67%,66.67%,50.00%,66.67%,66.67%,58.54%
27,Tampa Bay,70.83%,66.67%,33.33%,69.23%,72.73%,65.91%
27,New England,70.83%,71.43%,66.67%,63.64%,76.92%,61.90%
29,Washington,73.08%,60.00%,100.00%,71.43%,75.00%,66.67%
30,Pittsburgh,76.67%,85.71%,50.00%,81.82%,73.68%,61.22%
31,Kansas City,78.57%,83.33%,100.00%,78.57%,78.57%,64.81%
32,Tennessee,82.61%,80.00%,50.00%,77.78%,85.71%,61.54%
