Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,NY Giants,7.5,8.3,13.0,6.7,8.6,6.3
2,Tennessee,7.3,7.3,9.0,7.0,7.5,6.9
3,Denver,7.2,7.3,4.0,8.6,6.0,6.1
4,Detroit,6.9,7.3,5.0,7.2,6.6,5.1
5,Minnesota,6.8,6.3,6.0,6.2,7.6,5.5
6,Carolina,6.8,6.0,4.0,6.3,7.4,6.4
7,Seattle,6.5,7.7,7.0,6.6,6.3,5.6
8,Dallas,6.4,6.7,7.0,7.3,5.2,7.2
9,Tampa Bay,6.3,5.0,5.0,5.8,6.7,4.6
10,Atlanta,6.3,7.0,4.0,6.8,5.7,6.9
11,Houston,6.1,4.7,4.0,5.6,6.5,5.2
11,Kansas City,6.1,4.7,5.0,6.5,5.6,6.4
13,New Orleans,5.9,5.3,7.0,6.7,5.2,5.2
14,Pittsburgh,5.9,6.0,2.0,7.2,4.8,7.0
14,Cleveland,5.9,7.3,9.0,6.7,5.0,5.8
14,Cincinnati,5.9,7.7,8.0,6.0,5.9,6.1
17,Arizona,5.8,4.0,4.0,5.0,6.7,5.9
17,Buffalo,5.8,5.0,6.0,7.5,5.0,5.7
19,NY Jets,5.7,4.0,1.0,5.2,6.4,4.9
20,Green Bay,5.7,4.7,3.0,6.4,5.1,5.2
21,Philadelphia,5.6,5.7,4.0,6.2,5.0,5.3
22,Jacksonville,5.5,2.7,3.0,5.0,5.8,6.1
23,Las Vegas,5.4,3.7,2.0,6.5,4.7,5.9
24,Washington,5.3,3.7,2.0,7.0,3.5,5.6
25,LA Chargers,5.2,4.0,3.0,5.2,5.2,5.8
26,Baltimore,5.1,6.0,4.0,6.2,4.2,5.8
27,Indianapolis,5.1,6.7,3.0,4.8,5.3,6.4
28,San Francisco,4.8,4.0,6.0,5.2,4.5,5.8
28,LA Rams,4.8,5.0,3.0,5.2,4.4,5.2
30,Chicago,4.8,1.7,1.0,5.4,4.3,5.5
31,Miami,4.5,5.0,5.0,4.7,4.4,6.4
32,New England,4.1,4.0,6.0,4.0,4.2,5.7
