Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,NY Giants,0.06,0.06,0.1,0.05,0.07,0.05
2,Tennessee,0.06,0.06,0.07,0.06,0.06,0.05
3,Denver,0.06,0.06,0.03,0.07,0.05,0.05
4,Carolina,0.06,0.05,0.03,0.05,0.06,0.05
5,Detroit,0.05,0.06,0.04,0.05,0.05,0.04
6,Minnesota,0.05,0.05,0.05,0.05,0.06,0.04
7,Seattle,0.05,0.06,0.05,0.05,0.05,0.04
8,Atlanta,0.05,0.06,0.03,0.05,0.05,0.06
9,Dallas,0.05,0.05,0.05,0.06,0.04,0.05
10,Houston,0.05,0.04,0.03,0.04,0.05,0.04
11,Tampa Bay,0.05,0.04,0.04,0.04,0.05,0.03
12,New Orleans,0.05,0.04,0.06,0.05,0.04,0.04
13,Kansas City,0.05,0.04,0.04,0.05,0.04,0.05
14,Cincinnati,0.05,0.06,0.07,0.05,0.05,0.05
15,Green Bay,0.05,0.04,0.02,0.05,0.04,0.04
16,Cleveland,0.05,0.06,0.06,0.05,0.04,0.05
17,NY Jets,0.05,0.03,0.01,0.04,0.05,0.04
18,Pittsburgh,0.05,0.05,0.02,0.06,0.04,0.05
19,Buffalo,0.05,0.04,0.05,0.06,0.04,0.04
20,Arizona,0.04,0.03,0.03,0.04,0.05,0.05
21,Philadelphia,0.04,0.04,0.03,0.05,0.04,0.04
22,Las Vegas,0.04,0.03,0.01,0.05,0.04,0.05
23,Jacksonville,0.04,0.02,0.02,0.04,0.05,0.05
24,Washington,0.04,0.03,0.02,0.06,0.03,0.04
25,Baltimore,0.04,0.05,0.03,0.05,0.03,0.04
26,LA Chargers,0.04,0.03,0.02,0.04,0.04,0.04
27,Indianapolis,0.04,0.05,0.02,0.04,0.04,0.05
28,LA Rams,0.04,0.04,0.02,0.04,0.04,0.04
29,San Francisco,0.04,0.03,0.05,0.04,0.04,0.05
30,Chicago,0.04,0.01,0.01,0.04,0.04,0.04
31,Miami,0.04,0.04,0.04,0.04,0.04,0.05
32,New England,0.03,0.03,0.05,0.03,0.03,0.05
