Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,New Orleans,2.8,3.0,3.0,1.8,3.7,2.1
2,Dallas,2.5,3.3,4.0,2.0,3.2,2.3
2,Denver,2.5,1.0,0.0,1.4,3.5,1.2
4,NY Giants,2.5,2.0,3.0,2.0,3.0,1.4
5,Washington,2.3,1.3,2.0,2.8,1.7,1.5
6,Miami,2.1,2.0,2.0,1.8,2.4,1.9
7,Detroit,2.0,1.3,2.0,1.3,2.8,1.5
7,Cleveland,2.0,1.3,2.0,2.3,1.6,2.1
7,Buffalo,2.0,2.3,2.0,1.5,2.3,2.3
10,Green Bay,1.9,1.3,2.0,0.8,2.7,1.3
11,Seattle,1.9,1.0,0.0,1.2,2.5,2.1
12,Indianapolis,1.8,1.3,1.0,2.2,1.5,1.2
13,Philadelphia,1.8,2.3,2.0,1.8,1.8,2.0
14,Chicago,1.8,2.3,0.0,2.4,1.3,2.1
15,San Francisco,1.7,1.7,2.0,1.6,1.8,2.3
15,NY Jets,1.7,0.0,0.0,1.3,2.2,2.2
15,Tennessee,1.7,2.0,3.0,2.0,1.5,2.1
18,Jacksonville,1.6,1.0,1.0,1.2,2.0,1.7
18,Baltimore,1.6,1.3,1.0,1.6,1.7,1.6
20,New England,1.6,2.7,1.0,1.2,2.0,1.3
21,Carolina,1.5,1.7,2.0,2.0,0.8,1.7
22,Pittsburgh,1.5,1.3,2.0,1.2,1.7,1.4
22,Houston,1.5,1.7,3.0,1.2,1.7,1.7
22,Cincinnati,1.5,1.3,1.0,1.8,1.3,1.2
25,Las Vegas,1.4,1.7,1.0,1.5,1.3,2.1
25,LA Chargers,1.4,0.7,1.0,1.6,1.2,2.4
25,Minnesota,1.4,1.0,0.0,1.2,1.6,2.1
28,Arizona,1.3,0.3,0.0,1.3,1.3,2.0
29,Tampa Bay,1.3,1.3,2.0,1.0,1.5,2.1
30,LA Rams,1.1,1.7,3.0,1.0,1.2,1.2
31,Atlanta,1.1,1.0,1.0,0.8,1.3,1.5
32,Kansas City,1.0,0.3,0.0,0.8,1.2,1.8
