Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Miami,10.6,12.6,9.0,8.0,13.9,9.1
2,LA Chargers,9.9,10.4,6.3,11.3,8.8,8.4
3,Denver,9.1,8.7,8.5,8.9,9.4,8.9
4,San Francisco,8.9,8.4,7.7,9.5,8.4,8.0
5,Green Bay,8.9,9.1,8.3,9.6,8.3,8.2
6,Buffalo,8.7,9.1,10.3,8.8,8.6,8.2
7,New Orleans,8.7,9.9,9.1,9.0,8.2,8.6
8,Cleveland,8.7,9.2,7.8,6.7,11.8,8.9
9,Atlanta,8.6,8.2,7.0,8.7,8.4,8.1
10,Philadelphia,8.5,10.8,8.8,7.8,9.7,8.9
11,Seattle,8.5,7.3,7.1,8.4,8.7,9.6
12,Tampa Bay,8.5,9.4,8.4,10.6,7.0,8.3
13,Las Vegas,8.5,7.3,5.0,8.0,8.8,10.2
14,New England,8.3,6.8,7.8,8.5,8.2,8.5
15,Washington,8.3,10.0,10.0,8.1,8.7,8.4
16,Cincinnati,8.3,7.7,7.1,7.2,8.9,8.0
17,Minnesota,8.3,8.3,9.2,7.3,9.2,8.5
18,Carolina,8.1,9.7,11.0,8.0,8.2,8.3
19,Houston,8.0,6.8,8.8,9.0,7.3,8.9
20,Indianapolis,8.0,7.4,6.3,8.8,7.3,9.0
21,Dallas,8.0,8.3,9.4,8.3,7.3,7.9
22,Chicago,7.9,6.6,5.0,7.9,8.0,9.2
23,Detroit,7.8,8.4,7.2,7.6,8.0,9.4
24,Baltimore,7.7,6.9,4.8,6.9,8.6,9.0
25,Arizona,7.7,7.4,7.5,6.8,8.3,8.9
26,NY Jets,7.6,7.9,10.0,8.2,7.0,9.7
27,Jacksonville,7.6,8.1,6.7,7.5,7.7,8.5
28,NY Giants,7.4,6.8,6.6,8.3,6.5,7.6
29,Kansas City,7.4,5.7,5.0,6.8,8.1,7.9
30,Pittsburgh,7.2,7.7,10.0,7.8,6.5,8.3
31,LA Rams,7.2,7.1,8.3,6.8,7.7,8.1
32,Tennessee,7.1,7.7,8.9,7.1,7.2,9.0
