Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Washington,58.4,52.0,55.0,59.8,57.0,62.6
2,Chicago,59.2,58.0,62.0,57.8,60.1,59.4
3,San Francisco,60.1,60.0,53.0,57.4,62.3,61.6
4,LA Rams,60.5,64.3,72.0,54.7,67.4,64.5
5,Cleveland,60.8,65.0,66.0,62.0,59.4,62.1
6,NY Giants,61.2,64.0,69.0,59.3,63.4,66.9
7,Cincinnati,61.3,57.3,56.0,53.5,65.7,63.4
8,Green Bay,61.3,74.0,79.0,59.0,63.0,60.5
9,Baltimore,61.5,54.7,61.0,60.0,62.7,60.8
10,LA Chargers,61.5,65.3,64.0,62.2,61.0,64.9
11,Buffalo,62.0,62.0,51.0,66.8,59.6,60.4
12,Miami,62.1,63.3,58.0,63.8,60.0,63.6
13,Indianapolis,62.4,64.0,67.0,60.0,64.8,61.8
14,Arizona,62.6,60.3,64.0,64.7,60.5,60.3
15,New England,62.8,62.3,72.0,62.3,63.2,60.7
16,New Orleans,62.8,69.3,67.0,58.5,67.2,62.6
17,Tampa Bay,63.1,60.0,75.0,65.6,61.0,64.5
17,Kansas City,63.1,60.3,55.0,61.0,65.6,62.8
19,Las Vegas,63.2,61.3,63.0,62.5,63.6,64.7
19,Denver,63.2,62.3,65.0,59.8,66.0,61.1
21,Philadelphia,63.4,64.0,49.0,61.5,65.6,63.8
22,Dallas,63.6,58.0,59.0,64.3,62.8,63.6
23,Jacksonville,63.7,62.3,68.0,59.8,67.0,62.8
23,NY Jets,63.7,58.7,56.0,62.2,65.6,67.4
25,Pittsburgh,64.3,57.3,62.0,62.2,66.0,65.6
26,Minnesota,64.5,65.7,55.0,63.2,66.2,67.8
27,Tennessee,64.8,66.0,66.0,65.2,64.5,61.3
28,Atlanta,65.7,63.3,60.0,65.2,66.2,65.5
29,Carolina,65.8,61.0,57.0,64.6,67.6,60.5
30,Detroit,66.0,68.0,74.0,69.0,62.4,64.2
31,Houston,67.1,68.7,72.0,68.8,65.7,64.8
32,Seattle,67.6,70.7,77.0,66.0,69.0,70.6
