Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Buffalo,2.0,1.5,1.5,1.7,2.1,2.7
2,Chicago,2.1,2.4,1.5,2.3,1.9,2.7
3,Las Vegas,2.1,2.3,3.0,2.1,2.1,2.5
4,NY Jets,2.1,1.5,3.0,2.4,1.8,2.8
5,San Francisco,2.2,2.4,0.0,2.3,2.1,2.3
6,Seattle,2.3,1.5,2.0,2.5,2.0,2.5
7,Tampa Bay,2.4,2.4,1.5,2.3,2.6,2.6
7,Carolina,2.4,2.4,1.5,2.1,2.7,2.6
9,Minnesota,2.4,3.0,3.0,2.6,2.1,2.6
10,LA Chargers,2.4,2.6,1.5,3.0,1.8,2.7
11,Pittsburgh,2.5,2.5,1.5,2.7,2.2,2.7
12,Detroit,2.5,3.0,3.0,2.6,2.3,2.6
12,Philadelphia,2.5,2.7,3.0,2.7,2.1,2.6
14,Dallas,2.5,2.4,3.0,2.8,2.2,2.5
15,NY Giants,2.6,2.4,0.0,2.7,2.3,2.7
16,Atlanta,2.6,2.6,3.0,2.3,3.0,2.8
16,Houston,2.6,3.0,3.0,2.2,3.0,2.6
16,Cincinnati,2.6,2.6,2.3,2.3,2.7,2.4
19,Cleveland,2.6,3.0,3.0,2.1,3.0,2.9
20,Tennessee,2.6,3.0,3.0,3.0,2.4,2.5
21,LA Rams,2.7,3.0,3.0,2.7,2.6,2.6
22,Kansas City,2.7,2.0,3.0,2.4,3.0,2.6
23,Washington,2.7,2.3,2.0,2.4,3.0,2.8
23,New Orleans,2.7,2.3,3.0,3.0,2.6,2.4
23,Green Bay,2.7,3.0,3.0,2.4,2.8,2.6
23,Baltimore,2.7,3.0,3.0,2.6,2.8,2.3
27,New England,2.7,3.0,3.0,2.7,2.8,2.0
28,Indianapolis,2.7,3.0,3.0,2.6,2.8,2.4
29,Miami,2.8,3.0,3.0,2.5,3.0,2.5
30,Jacksonville,2.8,2.6,2.4,2.8,3.0,2.7
31,Arizona,2.9,3.0,3.0,3.0,2.7,2.5
32,Denver,2.9,2.6,3.0,2.8,3.0,2.3
