Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,15.7,8.7,0.0,15.2,16.2,20.6
2,Dallas,17.0,18.0,20.0,16.8,17.2,21.2
3,Buffalo,17.4,19.3,10.0,15.0,18.6,18.3
4,Denver,17.6,20.7,23.0,13.8,20.8,18.9
5,NY Jets,17.8,12.3,10.0,19.5,15.8,29.6
6,Tampa Bay,18.5,17.3,23.0,22.0,15.5,20.9
7,Tennessee,18.6,15.7,20.0,16.6,20.3,20.7
8,New England,18.8,20.0,24.0,16.7,21.0,19.4
9,Philadelphia,19.6,27.0,33.0,20.5,18.6,23.1
10,Washington,19.7,14.7,13.0,20.2,19.2,25.5
11,Indianapolis,20.3,20.3,24.0,21.0,19.7,21.5
12,Baltimore,20.6,14.7,28.0,21.0,20.3,23.1
13,Cincinnati,21.0,22.3,16.0,19.0,22.1,21.8
14,Jacksonville,21.1,24.7,27.0,16.6,24.8,26.9
14,NY Giants,21.1,25.0,28.0,19.7,22.8,24.5
16,Kansas City,22.1,18.0,10.0,20.2,24.4,22.4
17,Carolina,22.2,12.7,10.0,18.7,27.0,23.8
18,LA Rams,23.0,26.7,26.0,24.7,21.0,21.3
19,Miami,23.3,21.3,15.0,15.3,32.8,21.9
20,New Orleans,23.3,17.7,13.0,21.5,25.2,19.7
21,Minnesota,23.4,32.0,26.0,24.2,22.4,25.1
22,Green Bay,23.6,31.7,40.0,23.2,23.9,21.3
23,Houston,23.6,25.7,30.0,24.6,22.8,26.6
24,Pittsburgh,23.7,21.3,17.0,21.2,25.8,24.4
25,Atlanta,24.4,22.7,19.0,23.2,25.7,27.0
26,Las Vegas,25.1,25.0,34.0,24.3,25.6,25.8
27,Chicago,25.4,29.7,31.0,21.6,28.1,23.9
28,Seattle,25.5,27.3,40.0,21.0,29.3,21.5
29,LA Chargers,25.6,25.3,24.0,28.0,23.7,27.0
30,Cleveland,26.0,29.0,17.0,24.3,28.0,21.8
31,Arizona,26.8,26.7,25.0,29.0,24.5,22.2
32,Detroit,28.2,25.3,28.0,30.2,25.8,27.5
