Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Detroit,2.9,3.7,4.0,2.5,3.4,2.8
2,Las Vegas,3.2,3.7,4.0,3.0,3.3,3.9
2,LA Chargers,3.2,3.0,3.0,2.6,3.7,2.7
4,Atlanta,3.3,4.0,3.0,3.7,2.8,3.1
4,Chicago,3.3,3.0,2.0,4.0,2.7,3.7
6,Seattle,3.3,3.3,2.0,2.8,3.7,4.0
7,Jacksonville,3.5,2.3,1.0,3.6,3.5,3.8
7,Minnesota,3.5,2.7,3.0,2.8,4.4,3.8
9,Cleveland,3.6,3.7,9.0,4.5,2.6,4.2
10,Buffalo,3.7,3.7,6.0,3.8,3.6,4.2
11,LA Rams,3.8,3.7,1.0,3.7,4.0,3.9
11,Philadelphia,3.8,2.7,2.0,3.0,4.8,3.9
13,Miami,3.9,3.7,7.0,4.7,3.0,4.4
13,Kansas City,3.9,4.3,4.0,4.7,3.0,3.3
13,Baltimore,3.9,4.7,3.0,3.6,4.2,4.9
16,Arizona,3.9,5.0,6.0,3.3,4.5,3.5
17,NY Giants,4.0,3.7,1.0,4.3,3.6,3.9
17,Green Bay,4.0,3.0,1.0,5.0,3.3,3.4
19,Pittsburgh,4.1,3.7,3.0,4.4,3.8,4.6
20,Houston,4.3,5.7,6.0,4.2,4.3,3.4
21,New England,4.3,5.3,3.0,4.8,3.8,3.1
22,Cincinnati,4.4,5.3,5.0,5.5,3.7,4.3
23,New Orleans,4.4,4.3,4.0,4.8,4.0,4.8
24,Dallas,4.5,5.0,4.0,4.2,4.8,4.2
24,NY Jets,4.5,4.7,5.0,3.8,5.2,3.5
26,Indianapolis,4.7,4.3,4.0,4.0,5.3,3.6
27,San Francisco,4.7,4.3,4.0,3.8,5.5,4.1
28,Carolina,4.8,6.3,7.0,4.7,4.8,4.4
29,Washington,4.9,4.0,3.0,5.2,4.7,3.7
30,Tennessee,5.2,6.0,5.0,5.6,4.8,4.0
31,Tampa Bay,5.5,6.7,6.0,5.4,5.5,4.2
31,Denver,5.5,5.7,5.0,6.2,4.8,3.5
