Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,1.7,2.2,--,1.4,1.9,1.1
2,Tampa Bay,1.7,2.0,1.5,1.4,1.9,1.1
3,Tennessee,1.5,2.0,1.3,1.8,1.3,1.0
4,Denver,1.4,1.3,1.0,1.7,1.1,1.0
5,Washington,1.3,1.5,1.0,1.4,1.3,0.8
6,NY Jets,1.3,2.0,2.5,1.0,1.7,0.6
7,Dallas,1.3,1.5,1.0,1.1,1.4,1.0
8,Indianapolis,1.2,1.2,0.8,1.1,1.3,1.0
9,New England,1.2,1.5,0.8,1.5,0.9,0.9
10,Buffalo,1.2,1.1,3.0,1.4,1.1,1.3
11,Carolina,1.1,2.4,3.5,1.3,1.0,1.0
12,Philadelphia,1.1,0.5,0.3,0.8,1.5,1.0
13,Miami,1.0,1.0,2.3,1.8,0.6,1.1
13,Baltimore,1.0,1.6,0.6,0.9,1.0,1.2
15,Cincinnati,1.0,1.2,1.3,1.5,0.8,1.1
16,Kansas City,1.0,1.3,2.0,1.3,0.7,0.8
17,Houston,1.0,1.1,1.0,1.0,1.0,0.7
18,NY Giants,1.0,0.8,0.3,1.0,0.9,0.8
19,New Orleans,0.9,1.2,1.3,1.2,0.8,1.2
20,Green Bay,0.9,0.6,0.1,1.3,0.7,0.9
21,Pittsburgh,0.9,0.9,1.0,1.0,0.9,1.0
22,Jacksonville,0.9,0.5,0.2,1.0,0.9,0.8
23,LA Rams,0.9,0.7,0.2,0.8,0.9,1.0
24,Arizona,0.8,1.2,1.5,0.7,1.0,0.9
25,Minnesota,0.8,0.4,0.5,0.6,1.1,0.8
26,Chicago,0.8,0.6,0.4,1.1,0.6,0.9
27,Seattle,0.8,0.8,0.3,0.7,0.8,1.0
28,Cleveland,0.7,0.6,3.0,1.1,0.4,1.0
29,Atlanta,0.7,0.9,0.8,0.9,0.6,0.7
30,Las Vegas,0.7,0.7,0.7,0.7,0.7,0.8
31,LA Chargers,0.7,0.6,0.8,0.5,0.9,0.5
32,Detroit,0.6,0.8,0.8,0.5,0.7,0.5
