Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tampa Bay,0.09,0.11,0.08,0.08,0.09,0.07
2,Denver,0.09,0.09,0.08,0.1,0.07,0.06
3,Washington,0.08,0.08,0.05,0.09,0.08,0.06
4,Tennessee,0.08,0.09,0.08,0.09,0.07,0.07
5,San Francisco,0.08,0.07,0.08,0.07,0.09,0.07
6,Indianapolis,0.07,0.07,0.06,0.07,0.08,0.06
7,Carolina,0.07,0.1,0.12,0.07,0.07,0.07
8,Cincinnati,0.07,0.09,0.09,0.1,0.06,0.07
9,New Orleans,0.07,0.06,0.06,0.08,0.06,0.08
10,Dallas,0.07,0.09,0.07,0.06,0.08,0.07
11,NY Jets,0.07,0.08,0.09,0.06,0.08,0.05
12,New England,0.07,0.09,0.04,0.08,0.06,0.05
13,NY Giants,0.07,0.06,0.01,0.07,0.06,0.06
14,Green Bay,0.07,0.04,0.01,0.08,0.05,0.06
15,Houston,0.06,0.08,0.08,0.06,0.07,0.05
16,Pittsburgh,0.06,0.06,0.05,0.07,0.06,0.07
17,Baltimore,0.06,0.09,0.05,0.06,0.07,0.08
18,LA Rams,0.06,0.06,0.01,0.07,0.06,0.06
19,Miami,0.06,0.06,0.12,0.07,0.05,0.07
20,Arizona,0.06,0.08,0.09,0.05,0.07,0.06
21,Kansas City,0.06,0.07,0.07,0.08,0.05,0.05
22,Philadelphia,0.06,0.04,0.04,0.05,0.07,0.06
23,Cleveland,0.06,0.06,0.14,0.07,0.04,0.07
24,Buffalo,0.06,0.06,0.12,0.06,0.06,0.07
25,Jacksonville,0.06,0.04,0.01,0.06,0.05,0.06
26,Chicago,0.05,0.05,0.03,0.07,0.05,0.06
26,Minnesota,0.05,0.04,0.05,0.04,0.07,0.06
28,LA Chargers,0.05,0.05,0.05,0.04,0.06,0.04
29,Las Vegas,0.05,0.06,0.06,0.05,0.05,0.06
30,Atlanta,0.05,0.06,0.05,0.06,0.04,0.05
31,Seattle,0.05,0.05,0.03,0.04,0.05,0.06
32,Detroit,0.04,0.05,0.05,0.04,0.05,0.04
