Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Denver,30.77%,42.86%,50.00%,16.67%,35.00%,50.00%
2,LA Rams,42.42%,42.86%,16.67%,58.82%,25.00%,53.13%
3,New Orleans,47.06%,40.00%,33.33%,50.00%,45.45%,43.48%
4,Buffalo,47.22%,55.56%,0.00%,27.27%,56.00%,53.85%
5,NY Giants,48.84%,60.00%,100.00%,36.00%,66.67%,52.11%
6,Cincinnati,50.00%,54.55%,0.00%,66.67%,44.00%,57.97%
7,Tennessee,51.61%,50.00%,33.33%,46.15%,55.56%,51.67%
8,NY Jets,51.72%,28.57%,33.33%,47.06%,58.33%,60.81%
9,Dallas,51.85%,57.14%,66.67%,52.94%,50.00%,61.70%
10,Houston,52.63%,45.45%,40.00%,55.00%,50.00%,62.12%
11,Philadelphia,52.78%,50.00%,50.00%,50.00%,56.25%,66.15%
12,Washington,53.85%,71.43%,50.00%,57.89%,50.00%,59.32%
12,LA Chargers,53.85%,54.55%,100.00%,50.00%,57.14%,64.18%
14,Carolina,54.76%,37.50%,50.00%,50.00%,60.00%,67.31%
15,Baltimore,55.26%,28.57%,50.00%,66.67%,47.83%,54.00%
16,New England,55.56%,66.67%,100.00%,55.56%,55.56%,53.70%
17,Pittsburgh,55.88%,85.71%,66.67%,64.29%,50.00%,53.97%
18,San Francisco,56.00%,20.00%,0.00%,33.33%,76.92%,54.29%
19,Jacksonville,56.76%,54.55%,40.00%,28.57%,73.91%,62.30%
20,Green Bay,57.50%,73.33%,80.00%,56.25%,58.33%,62.26%
21,Cleveland,58.54%,58.33%,100.00%,65.00%,52.38%,65.38%
22,Indianapolis,59.38%,62.50%,66.67%,72.22%,42.86%,64.15%
23,Seattle,60.00%,62.50%,50.00%,37.50%,78.95%,50.82%
24,Atlanta,61.36%,75.00%,66.67%,66.67%,56.52%,63.77%
25,Tampa Bay,63.33%,42.86%,66.67%,63.16%,63.64%,52.31%
26,Minnesota,64.52%,41.67%,0.00%,58.82%,71.43%,55.93%
27,Chicago,65.85%,60.00%,50.00%,55.00%,76.19%,55.56%
28,Detroit,67.50%,80.00%,75.00%,69.57%,64.71%,70.00%
29,Miami,67.65%,62.50%,50.00%,57.14%,75.00%,52.63%
30,Arizona,68.89%,75.00%,66.67%,72.00%,65.00%,61.82%
31,Las Vegas,69.44%,55.56%,60.00%,58.33%,75.00%,77.08%
32,Kansas City,70.59%,71.43%,100.00%,68.75%,72.22%,57.58%
