Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Baltimore,21.0,17.3,20.0,21.0,21.0,22.2
2,Tennessee,21.9,24.0,28.0,24.2,20.0,21.4
3,Kansas City,23.5,24.7,28.0,25.3,21.2,24.5
4,San Francisco,23.9,20.7,22.0,18.2,28.7,25.5
5,Buffalo,24.0,22.7,14.0,25.0,23.5,25.7
6,Arizona,24.2,20.3,13.0,24.8,23.5,25.8
7,Miami,24.5,26.0,14.0,20.5,29.4,25.0
8,LA Rams,24.8,26.7,30.0,26.0,23.4,24.5
9,Washington,24.8,21.7,29.0,23.8,25.8,25.3
10,Philadelphia,25.8,32.0,21.0,25.0,26.8,27.2
11,Pittsburgh,26.1,21.3,25.0,25.0,27.0,28.9
12,Cincinnati,26.3,21.0,21.0,22.8,28.3,23.6
13,Minnesota,26.4,26.7,13.0,25.3,27.6,27.9
14,Tampa Bay,26.5,24.0,34.0,30.0,23.7,21.7
15,Denver,26.6,31.0,46.0,22.2,30.3,25.9
16,New England,26.7,29.0,37.0,30.0,23.3,27.4
17,NY Giants,26.9,31.7,39.0,27.5,26.2,28.9
18,Jacksonville,27.1,27.0,35.0,27.4,26.8,29.0
19,Cleveland,27.2,28.7,20.0,22.5,32.8,25.7
20,Las Vegas,27.5,27.0,23.0,25.3,28.7,27.1
20,NY Jets,27.5,25.7,29.0,26.7,28.4,30.9
22,LA Chargers,27.8,34.0,34.0,26.6,28.8,29.9
23,Dallas,28.1,25.7,21.0,29.0,27.0,25.9
24,New Orleans,28.6,34.0,29.0,24.7,32.5,25.1
25,Atlanta,29.0,41.7,37.0,28.5,29.5,30.5
26,Carolina,29.6,24.7,19.0,26.7,33.6,27.9
27,Detroit,29.6,30.0,29.0,28.8,30.6,30.5
28,Indianapolis,30.1,31.0,36.0,30.2,30.0,24.7
29,Chicago,30.8,32.0,32.0,28.6,32.3,28.4
30,Green Bay,31.2,37.3,49.0,31.2,31.1,23.6
31,Seattle,31.4,35.0,40.0,29.4,33.0,29.9
32,Houston,34.4,37.7,26.0,36.2,32.8,30.8
