Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tennessee,0.3,0.3,1.0,0.4,0.2,0.8
2,New England,0.4,0.3,1.0,0.7,0.2,0.6
3,Washington,0.5,0.7,0.0,0.5,0.5,0.8
4,Dallas,0.5,0.7,1.0,0.5,0.6,0.8
4,Pittsburgh,0.5,0.3,1.0,0.4,0.7,0.9
4,Kansas City,0.5,0.3,0.0,0.5,0.6,0.8
4,Denver,0.5,0.3,1.0,0.2,0.8,0.5
8,Tampa Bay,0.6,0.7,2.0,0.8,0.5,0.7
8,LA Rams,0.6,1.0,1.0,0.8,0.4,1.0
10,Buffalo,0.7,0.3,0.0,0.8,0.6,1.1
11,San Francisco,0.8,0.3,0.0,0.6,1.0,1.0
11,Cincinnati,0.8,1.0,0.0,0.5,1.0,0.8
11,Baltimore,0.8,0.0,0.0,0.8,0.8,0.8
14,Jacksonville,0.9,0.3,1.0,0.6,1.2,1.3
14,NY Jets,0.9,0.7,0.0,0.7,1.2,1.6
14,Philadelphia,0.9,1.3,1.0,0.7,1.2,1.1
17,New Orleans,0.9,0.7,0.0,0.7,1.2,0.7
17,Indianapolis,0.9,1.3,2.0,1.5,0.3,0.6
19,NY Giants,1.0,2.0,2.0,1.0,1.0,0.9
20,Arizona,1.1,0.7,0.0,1.2,1.0,0.6
20,Carolina,1.1,0.3,0.0,0.7,1.6,0.9
20,Green Bay,1.1,1.7,3.0,1.2,1.0,0.7
23,LA Chargers,1.1,1.0,1.0,0.6,1.5,1.3
23,Minnesota,1.1,1.3,0.0,1.0,1.2,0.9
25,Las Vegas,1.2,1.7,2.0,1.3,1.1,1.0
25,Miami,1.2,1.0,1.0,0.5,2.0,0.9
27,Atlanta,1.3,1.3,0.0,1.5,1.0,1.1
28,Seattle,1.3,1.0,2.0,1.0,1.5,0.9
29,Houston,1.4,1.0,1.0,1.6,1.2,1.5
30,Cleveland,1.5,1.0,0.0,1.2,1.8,0.8
31,Chicago,1.6,1.3,1.0,1.2,1.9,0.8
32,Detroit,1.6,1.7,1.0,1.7,1.6,1.1
