Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Green Bay,45.17%,45.90%,72.60%,48.13%,43.27%,33.86%
2,Houston,43.80%,39.05%,19.47%,43.53%,44.04%,37.00%
3,Dallas,42.60%,41.20%,30.00%,44.13%,40.72%,33.09%
4,Chicago,41.12%,37.61%,33.91%,36.04%,44.17%,39.51%
5,LA Chargers,41.05%,40.47%,49.45%,36.65%,44.85%,38.57%
6,Denver,39.70%,33.58%,53.01%,36.50%,42.19%,34.13%
7,Philadelphia,39.67%,37.34%,30.99%,37.75%,41.81%,32.67%
8,Seattle,39.57%,45.03%,49.13%,40.67%,38.66%,29.98%
9,New Orleans,39.55%,44.67%,30.28%,36.48%,42.27%,29.37%
10,NY Giants,39.11%,37.65%,39.30%,45.16%,32.16%,36.36%
11,Tampa Bay,39.08%,34.58%,51.50%,42.74%,35.76%,27.19%
12,Carolina,38.97%,44.26%,49.19%,37.52%,40.88%,37.20%
13,Indianapolis,38.31%,41.23%,53.25%,43.23%,32.92%,31.78%
14,Cleveland,37.84%,39.39%,29.54%,31.25%,46.11%,35.06%
15,Detroit,37.30%,41.82%,40.90%,34.28%,41.58%,35.56%
16,NY Jets,36.03%,39.74%,43.49%,36.58%,35.42%,34.78%
17,New England,35.66%,30.39%,37.18%,47.82%,25.80%,39.49%
18,Washington,34.97%,37.90%,50.30%,29.70%,40.42%,29.06%
19,Cincinnati,34.17%,24.81%,18.31%,30.45%,35.78%,29.32%
20,Atlanta,33.28%,60.75%,56.05%,35.69%,31.00%,36.20%
21,Miami,31.90%,45.71%,17.14%,27.78%,35.86%,32.54%
22,Buffalo,31.81%,24.48%,24.79%,34.20%,30.39%,38.90%
23,Las Vegas,31.74%,33.06%,17.47%,35.47%,29.50%,33.54%
24,Jacksonville,31.64%,31.91%,39.04%,39.13%,26.42%,35.44%
25,Arizona,31.10%,30.40%,20.90%,28.01%,35.09%,35.03%
26,Kansas City,30.41%,34.85%,58.59%,36.56%,23.41%,31.19%
27,LA Rams,30.08%,26.75%,26.77%,36.81%,23.32%,28.53%
28,Minnesota,29.34%,27.42%,11.00%,26.55%,32.45%,34.07%
29,Pittsburgh,28.28%,22.74%,37.93%,23.92%,31.20%,39.13%
30,San Francisco,28.20%,22.29%,24.23%,21.27%,34.71%,31.65%
31,Baltimore,24.42%,15.64%,11.45%,27.04%,22.17%,23.24%
32,Tennessee,24.07%,23.90%,28.88%,32.33%,17.09%,25.25%
