Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,0.2,0.0,0.0,0.2,0.2,0.1
1,Miami,0.2,0.0,0.0,0.2,0.2,0.1
3,Detroit,0.1,0.3,1.0,0.2,0.0,0.0
3,NY Giants,0.1,0.0,0.0,0.0,0.2,0.1
3,LA Rams,0.1,0.0,0.0,0.2,0.0,0.0
3,Seattle,0.1,0.0,0.0,0.0,0.2,0.0
3,Philadelphia,0.1,0.0,0.0,0.0,0.2,0.1
8,Washington,0.1,0.0,0.0,0.0,0.2,0.0
9,Dallas,0.0,0.0,0.0,0.0,0.0,0.0
9,Atlanta,0.0,0.0,0.0,0.0,0.0,0.0
9,Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.0
9,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0
9,Las Vegas,0.0,0.0,0.0,0.0,0.0,0.0
9,Chicago,0.0,0.0,0.0,0.0,0.0,0.0
9,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.0
9,NY Jets,0.0,0.0,0.0,0.0,0.0,0.0
9,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0
9,Cleveland,0.0,0.0,0.0,0.0,0.0,0.0
9,Houston,0.0,0.0,0.0,0.0,0.0,0.0
9,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.0
9,Arizona,0.0,0.0,0.0,0.0,0.0,0.1
9,New England,0.0,0.0,0.0,0.0,0.0,0.0
9,Kansas City,0.0,0.0,0.0,0.0,0.0,0.0
9,Denver,0.0,0.0,0.0,0.0,0.0,0.0
9,Buffalo,0.0,0.0,0.0,0.0,0.0,0.1
9,Carolina,0.0,0.0,0.0,0.0,0.0,0.1
9,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.0
9,Green Bay,0.0,0.0,0.0,0.0,0.0,0.0
9,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.0
9,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0
9,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0
9,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.0
