Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Carolina,32.1,39.3,45.0,32.3,31.8,38.1
2,NY Jets,35.5,32.7,36.0,37.0,33.6,36.9
3,New Orleans,35.8,32.0,34.0,36.7,34.8,35.7
4,Houston,36.2,34.7,37.0,37.0,35.5,37.6
5,Tennessee,36.4,36.0,36.0,37.4,35.5,45.1
6,Las Vegas,37.1,38.3,44.0,39.8,35.6,38.4
7,LA Rams,37.2,35.3,31.0,39.0,35.0,38.3
8,Green Bay,37.8,34.7,26.0,41.2,35.3,39.0
9,San Francisco,38.2,40.0,44.0,41.8,35.2,36.2
10,Miami,38.5,41.0,44.0,38.3,38.6,40.6
11,Denver,38.6,39.3,35.0,40.8,36.8,36.1
12,Atlanta,38.7,34.3,34.0,41.7,35.7,34.6
13,Cincinnati,39.2,38.7,38.0,44.5,36.1,37.6
14,Dallas,39.3,49.3,45.0,38.3,40.4,40.8
15,Chicago,39.4,40.7,32.0,41.6,37.9,38.9
16,Tampa Bay,39.6,43.7,38.0,38.4,40.7,38.4
17,New England,39.7,39.0,33.0,40.2,39.2,40.8
18,Seattle,40.0,39.7,37.0,40.4,39.7,33.6
19,Washington,40.1,39.3,28.0,37.7,42.5,39.8
20,Indianapolis,40.2,37.3,35.0,40.5,39.8,39.4
21,Detroit,40.2,43.3,44.0,36.8,44.2,39.9
22,Kansas City,40.3,39.0,35.0,40.7,39.8,39.5
22,Minnesota,40.3,42.3,46.0,44.2,35.6,40.6
24,Baltimore,40.4,44.7,41.0,41.6,39.3,45.6
25,Buffalo,40.5,43.7,44.0,37.8,41.9,40.5
26,Jacksonville,40.6,39.7,40.0,42.6,39.0,35.1
27,Pittsburgh,41.3,45.3,46.0,38.2,43.8,40.6
28,Cleveland,41.7,41.7,49.0,43.7,39.4,38.6
29,Philadelphia,42.2,37.3,47.0,40.3,44.4,38.7
30,LA Chargers,43.5,42.3,44.0,47.2,40.5,39.5
31,NY Giants,43.9,44.3,37.0,45.2,42.4,36.2
32,Arizona,45.7,46.0,45.0,45.2,46.2,41.4
