Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Dallas,0.0,0.0,0.0,0.0,0.0,0.0
1,Atlanta,0.0,0.0,0.0,0.0,0.0,0.1
1,Washington,0.0,0.0,0.0,0.0,0.0,0.1
1,Pittsburgh,0.0,0.0,0.0,0.0,0.0,0.0
1,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0
1,Las Vegas,0.0,0.0,0.0,0.0,0.0,0.1
1,Detroit,0.0,0.0,0.0,0.0,0.0,0.0
1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.2
1,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0
1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.0
1,Houston,0.0,0.0,0.0,0.0,0.0,0.0
1,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.0
1,Arizona,0.0,0.0,0.0,0.0,0.0,0.1
1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.0
1,Denver,0.0,0.0,0.0,0.0,0.0,0.1
1,Buffalo,0.0,0.0,0.0,0.0,0.0,0.1
1,Carolina,0.0,0.0,0.0,0.0,0.0,0.1
1,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.0
1,NY Giants,0.0,0.0,0.0,0.0,0.0,0.0
1,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.0
1,Baltimore,0.0,0.0,0.0,0.0,0.0,0.1
1,Seattle,0.0,0.0,0.0,0.0,0.0,0.0
1,Philadelphia,0.0,0.0,0.0,0.0,0.0,0.0
1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.1
1,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.0
26,New England,0.1,0.3,0.0,0.0,0.2,0.1
26,Green Bay,0.1,0.0,0.0,0.2,0.0,0.1
28,San Francisco,0.1,0.0,0.0,0.2,0.0,0.1
28,NY Jets,0.1,0.3,0.0,0.0,0.2,0.0
28,Miami,0.1,0.0,0.0,0.0,0.2,0.0
28,LA Rams,0.1,0.0,0.0,0.2,0.0,0.0
32,Chicago,0.2,0.3,0.0,0.2,0.1,0.0
