Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tennessee,30.67%,35.56%,35.71%,24.24%,35.71%,37.33%
2,Baltimore,32.56%,27.78%,30.77%,36.36%,29.73%,34.83%
3,Denver,32.67%,28.21%,16.67%,20.31%,41.86%,44.89%
4,Washington,33.33%,35.48%,40.00%,31.51%,35.14%,48.47%
5,Dallas,34.01%,28.57%,27.27%,34.57%,33.33%,34.75%
6,Indianapolis,35.67%,43.59%,50.00%,38.57%,33.33%,40.48%
7,NY Giants,36.64%,47.06%,63.64%,34.25%,39.66%,39.82%
8,Green Bay,36.88%,46.51%,53.33%,29.82%,41.67%,42.52%
9,Tampa Bay,37.42%,24.39%,29.41%,45.95%,29.63%,38.25%
10,Cleveland,38.46%,35.14%,26.67%,36.99%,40.35%,39.27%
11,Kansas City,38.73%,41.46%,38.46%,31.17%,47.69%,41.56%
12,New Orleans,38.75%,43.18%,38.46%,39.24%,38.27%,37.08%
13,Buffalo,38.82%,34.21%,25.00%,39.29%,38.54%,33.61%
14,Houston,38.89%,33.33%,26.67%,39.39%,38.46%,43.20%
15,Philadelphia,39.13%,41.86%,14.29%,34.78%,43.48%,42.17%
16,NY Jets,39.61%,39.02%,30.77%,40.96%,38.03%,44.39%
17,Pittsburgh,39.73%,27.27%,25.00%,37.31%,41.77%,38.52%
18,Cincinnati,40.00%,41.46%,43.75%,27.91%,45.10%,41.24%
19,Carolina,40.12%,32.50%,28.57%,36.84%,44.78%,37.79%
20,New England,40.35%,45.45%,60.00%,38.10%,42.53%,38.07%
21,Minnesota,40.60%,55.00%,30.00%,39.73%,41.67%,36.45%
22,LA Rams,40.85%,37.84%,45.45%,42.03%,39.73%,37.55%
23,San Francisco,41.61%,41.86%,36.36%,39.66%,42.86%,41.29%
24,Miami,41.73%,41.46%,15.38%,35.90%,49.18%,41.13%
25,Jacksonville,43.70%,50.00%,57.14%,39.34%,47.30%,42.99%
26,LA Chargers,44.78%,52.50%,53.85%,45.76%,44.00%,49.54%
27,Arizona,45.00%,42.86%,46.15%,51.43%,38.57%,38.64%
28,Las Vegas,45.52%,37.50%,33.33%,42.00%,47.62%,39.67%
29,Seattle,45.70%,55.81%,57.14%,44.12%,46.99%,39.29%
30,Atlanta,47.21%,46.51%,41.67%,42.50%,51.85%,48.39%
31,Chicago,48.94%,43.75%,58.33%,37.70%,57.50%,38.39%
32,Detroit,50.75%,50.00%,58.33%,59.04%,37.25%,45.10%
