Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Baltimore,3.8,3.3,4.0,4.0,3.7,4.1
2,Washington,4.1,3.7,4.0,3.8,4.3,6.5
3,Tennessee,4.2,5.3,5.0,3.2,5.0,4.7
4,Green Bay,4.3,6.7,8.0,3.4,5.0,5.1
5,NY Giants,4.4,5.3,7.0,4.2,4.6,5.3
6,Denver,4.5,3.7,2.0,2.6,6.0,5.9
7,Dallas,4.5,3.3,3.0,4.7,4.4,4.6
7,Cleveland,4.5,4.3,4.0,4.5,4.6,5.1
9,Indianapolis,4.7,5.7,7.0,4.5,4.8,5.0
10,Philadelphia,4.9,6.0,1.0,4.0,6.0,5.4
10,Minnesota,4.9,7.3,3.0,4.8,5.0,4.6
12,Buffalo,4.9,4.3,3.0,5.5,4.6,4.3
13,Kansas City,5.0,5.7,5.0,4.0,6.2,5.1
14,Houston,5.1,4.7,4.0,5.2,5.0,5.2
15,New Orleans,5.2,6.3,5.0,5.2,5.2,5.2
16,Arizona,5.3,5.0,6.0,6.0,4.5,4.7
17,Pittsburgh,5.3,3.0,3.0,5.0,5.5,5.2
17,Miami,5.3,5.7,2.0,4.7,6.0,5.6
17,Tampa Bay,5.3,3.3,5.0,6.8,4.0,5.1
17,LA Rams,5.3,4.7,5.0,4.8,5.8,4.8
17,Cincinnati,5.3,5.7,7.0,3.0,6.6,5.4
22,Jacksonville,5.4,6.0,8.0,4.8,5.8,5.6
23,Carolina,5.4,4.3,4.0,5.0,6.0,4.8
24,LA Chargers,5.5,7.0,7.0,5.4,5.5,6.3
25,Las Vegas,5.5,4.0,3.0,5.3,5.7,5.3
25,NY Jets,5.5,5.3,4.0,5.7,5.4,5.8
27,San Francisco,5.6,6.0,4.0,4.6,6.5,5.5
28,Chicago,5.8,4.7,7.0,4.6,6.6,4.8
28,New England,5.8,6.7,9.0,5.3,6.2,4.6
30,Detroit,6.2,6.0,7.0,8.2,3.8,5.4
31,Seattle,6.3,8.0,8.0,6.0,6.5,5.2
32,Atlanta,6.3,6.7,5.0,5.7,7.0,6.2
