Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.2
1,Denver,0.0,0.0,0.0,0.0,0.0,0.4
3,Washington,0.1,0.0,0.0,0.2,0.0,0.3
3,Carolina,0.1,0.0,0.0,0.1,0.0,0.5
5,Cleveland,0.1,0.3,0.0,0.0,0.2,0.5
5,Houston,0.1,0.0,0.0,0.2,0.0,0.3
5,NY Giants,0.1,0.0,0.0,0.0,0.2,0.1
5,Cincinnati,0.1,0.0,0.0,0.0,0.1,0.2
5,Philadelphia,0.1,0.0,0.0,0.0,0.2,0.2
10,Chicago,0.2,0.0,0.0,0.2,0.1,0.2
10,Arizona,0.2,0.3,1.0,0.2,0.2,0.2
10,New England,0.2,0.0,0.0,0.0,0.3,0.2
10,Buffalo,0.2,0.7,0.0,0.0,0.3,0.3
10,Green Bay,0.2,0.0,0.0,0.0,0.3,0.3
15,Pittsburgh,0.2,0.0,0.0,0.2,0.2,0.1
15,San Francisco,0.2,0.0,0.0,0.0,0.3,0.4
15,Tampa Bay,0.2,0.3,0.0,0.2,0.2,0.2
15,LA Chargers,0.2,0.0,0.0,0.4,0.0,0.4
15,LA Rams,0.2,0.0,0.0,0.3,0.0,0.2
20,Kansas City,0.3,0.0,0.0,0.2,0.4,0.4
20,Baltimore,0.3,0.3,1.0,0.0,0.5,0.3
20,Seattle,0.3,0.0,0.0,0.0,0.5,0.2
23,Atlanta,0.3,0.0,0.0,0.5,0.2,0.5
23,Indianapolis,0.3,0.7,1.0,0.5,0.2,0.4
25,Dallas,0.4,0.0,0.0,0.5,0.2,0.4
25,Detroit,0.4,0.3,0.0,0.5,0.2,0.4
25,Miami,0.4,1.0,2.0,0.5,0.2,0.1
25,Minnesota,0.4,0.0,0.0,0.3,0.4,0.4
29,New Orleans,0.4,0.0,0.0,0.3,0.5,0.2
30,Las Vegas,0.5,0.7,0.0,1.0,0.1,0.3
30,Tennessee,0.5,0.3,0.0,0.6,0.3,0.2
32,Jacksonville,0.5,0.3,1.0,0.2,0.8,0.1
