Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Washington,0.0,0.0,0.0,0.0,0.0,0.1
1,San Francisco,0.0,0.0,0.0,0.0,0.0,0.2
1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1
1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.1
1,Denver,0.0,0.0,0.0,0.0,0.0,0.2
1,Carolina,0.0,0.0,0.0,0.0,0.0,0.1
1,Philadelphia,0.0,0.0,0.0,0.0,0.0,0.1
8,Chicago,0.1,0.0,0.0,0.0,0.1,0.1
8,Arizona,0.1,0.3,1.0,0.2,0.0,0.2
8,New England,0.1,0.0,0.0,0.0,0.2,0.0
8,Buffalo,0.1,0.3,0.0,0.0,0.1,0.2
8,Green Bay,0.1,0.0,0.0,0.0,0.1,0.2
13,Dallas,0.1,0.0,0.0,0.2,0.0,0.2
13,Pittsburgh,0.1,0.0,0.0,0.0,0.2,0.0
13,Detroit,0.1,0.0,0.0,0.2,0.0,0.1
13,Houston,0.1,0.0,0.0,0.2,0.0,0.2
13,Tampa Bay,0.1,0.0,0.0,0.2,0.0,0.2
13,Kansas City,0.1,0.0,0.0,0.0,0.2,0.2
13,LA Chargers,0.1,0.0,0.0,0.2,0.0,0.2
13,NY Giants,0.1,0.0,0.0,0.0,0.2,0.0
13,LA Rams,0.1,0.0,0.0,0.2,0.0,0.2
13,Cincinnati,0.1,0.0,0.0,0.0,0.1,0.1
13,Baltimore,0.1,0.3,1.0,0.0,0.2,0.1
13,Minnesota,0.1,0.0,0.0,0.0,0.2,0.3
25,New Orleans,0.2,0.0,0.0,0.0,0.3,0.1
25,Indianapolis,0.2,0.3,1.0,0.3,0.0,0.3
27,Las Vegas,0.2,0.0,0.0,0.5,0.0,0.2
27,Miami,0.2,0.3,0.0,0.2,0.2,0.0
29,Atlanta,0.3,0.0,0.0,0.3,0.2,0.3
30,Jacksonville,0.3,0.3,1.0,0.2,0.3,0.1
30,Tennessee,0.3,0.3,0.0,0.2,0.3,0.1
30,Seattle,0.3,0.0,0.0,0.0,0.5,0.1
