Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,4.7,4.5,4.9,5.2,4.3,5.1
2,Philadelphia,4.8,5.0,7.0,4.8,4.8,5.2
3,NY Jets,4.8,5.1,5.2,4.8,4.9,5.9
4,Denver,4.8,5.7,5.4,4.9,4.8,5.3
5,Dallas,4.9,5.2,5.1,4.9,4.9,5.5
6,Indianapolis,4.9,4.9,4.8,5.4,4.6,5.6
7,New England,5.0,4.4,4.9,4.5,5.5,5.3
8,Tampa Bay,5.0,4.8,4.9,5.0,5.0,5.2
9,Buffalo,5.2,5.2,4.7,5.4,5.1,4.8
10,New Orleans,5.2,5.0,4.7,5.2,5.1,5.1
11,Carolina,5.3,4.6,4.3,5.3,5.3,5.1
12,Washington,5.3,4.8,6.0,5.3,5.4,5.7
13,Kansas City,5.3,4.9,3.6,5.4,5.3,5.8
14,LA Rams,5.3,5.5,6.1,5.4,5.3,5.2
15,Cincinnati,5.4,5.4,6.1,5.1,5.5,5.6
16,Tennessee,5.4,4.8,5.7,5.4,5.4,5.4
17,Baltimore,5.5,4.8,5.4,5.7,5.3,6.0
18,Miami,5.5,4.6,3.6,4.8,6.4,5.3
19,Green Bay,5.6,6.0,6.3,5.4,5.7,5.3
20,Arizona,5.7,5.3,4.9,6.2,5.1,5.5
21,Jacksonville,5.7,6.5,6.1,5.5,5.9,5.6
22,Cleveland,5.7,6.0,4.9,5.7,5.7,5.0
23,Pittsburgh,5.7,5.1,4.7,5.2,6.1,5.6
24,Houston,5.7,5.1,4.7,5.8,5.7,5.9
25,Seattle,5.7,5.9,7.5,5.9,5.7,5.4
26,NY Giants,5.8,5.9,6.2,5.9,5.7,5.3
27,Atlanta,5.8,4.9,5.2,5.7,5.9,5.6
28,Las Vegas,5.9,6.0,5.9,6.1,5.7,5.2
29,Chicago,5.9,6.1,7.5,5.5,6.2,5.3
30,LA Chargers,6.0,6.3,5.7,6.0,5.9,5.6
31,Minnesota,6.1,6.9,7.4,6.0,6.1,5.7
32,Detroit,6.3,6.0,5.4,6.5,6.1,5.9
