Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,San Francisco,3.3,2.9,2.9,3.5,3.2,3.9
2,Tennessee,3.9,3.2,3.9,4.7,3.0,3.9
3,Baltimore,3.9,2.3,1.9,4.4,3.5,3.8
4,LA Rams,3.9,3.5,3.9,4.2,3.5,3.9
5,Indianapolis,3.9,4.2,4.8,4.6,3.2,4.4
6,Pittsburgh,4.0,3.1,4.4,3.1,4.7,5.0
7,NY Jets,4.1,4.7,4.4,4.1,4.0,4.5
8,New England,4.2,2.9,3.6,4.5,3.8,4.6
9,Jacksonville,4.2,4.8,4.6,4.7,3.9,4.3
10,Buffalo,4.2,3.5,4.3,4.9,3.9,4.4
11,Cincinnati,4.3,3.6,3.0,3.6,4.6,4.4
12,Las Vegas,4.3,4.5,2.8,5.4,3.7,4.2
13,Minnesota,4.3,4.6,3.5,4.0,4.8,4.7
14,Kansas City,4.3,4.1,4.1,4.7,3.8,4.7
15,Washington,4.4,4.3,5.8,3.9,4.8,4.1
16,Atlanta,4.4,4.5,4.8,4.7,4.1,4.3
17,Miami,4.5,5.1,2.6,4.2,4.7,4.4
18,New Orleans,4.5,4.5,3.3,4.5,4.5,3.7
19,Denver,4.6,3.8,4.0,4.8,4.4,4.3
20,Arizona,4.6,4.8,5.0,4.5,4.6,4.5
21,Carolina,4.6,5.1,6.4,4.8,4.4,4.1
22,Tampa Bay,4.6,4.1,5.6,4.7,4.6,4.2
23,Philadelphia,4.7,3.7,5.0,4.5,4.9,4.0
24,Chicago,4.7,4.2,4.9,4.0,5.1,4.4
25,Dallas,4.7,4.8,4.3,4.8,4.6,4.5
26,Cleveland,4.8,5.4,4.8,4.9,4.8,4.2
27,Seattle,4.9,5.4,7.1,5.4,4.6,3.8
28,Houston,4.9,3.6,2.5,4.8,5.0,4.6
29,Green Bay,5.0,5.4,7.4,5.0,5.0,4.6
30,NY Giants,5.2,4.5,4.3,5.7,4.5,4.5
31,Detroit,5.2,5.7,5.7,5.3,5.1,4.4
32,LA Chargers,5.4,4.9,5.3,5.2,5.6,4.6
