Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Arizona,0.4,0.0,0.0,0.5,0.3,0.1
2,Atlanta,0.3,0.3,0.0,0.5,0.2,0.1
2,New England,0.3,0.3,0.0,0.5,0.2,0.2
4,Miami,0.3,0.7,1.0,0.3,0.2,0.4
5,Carolina,0.3,0.0,0.0,0.3,0.2,0.1
6,Dallas,0.2,0.0,0.0,0.2,0.2,0.5
6,Las Vegas,0.2,0.0,0.0,0.5,0.0,0.0
6,San Francisco,0.2,0.0,0.0,0.2,0.2,0.2
6,Seattle,0.2,0.0,0.0,0.0,0.3,0.1
6,Minnesota,0.2,0.7,1.0,0.2,0.2,0.2
11,Washington,0.2,0.7,0.0,0.0,0.3,0.2
12,Pittsburgh,0.1,0.0,0.0,0.0,0.2,0.1
12,Detroit,0.1,0.3,0.0,0.0,0.2,0.0
12,Jacksonville,0.1,0.0,0.0,0.0,0.2,0.2
12,NY Jets,0.1,0.0,0.0,0.0,0.2,0.1
12,Tennessee,0.1,0.0,0.0,0.2,0.0,0.2
12,Cleveland,0.1,0.0,0.0,0.2,0.0,0.1
12,Tampa Bay,0.1,0.0,0.0,0.0,0.2,0.1
12,Kansas City,0.1,0.0,0.0,0.2,0.0,0.2
12,Baltimore,0.1,0.0,0.0,0.2,0.0,0.1
12,Philadelphia,0.1,0.0,0.0,0.0,0.2,0.3
22,Buffalo,0.1,0.0,0.0,0.3,0.0,0.1
22,Green Bay,0.1,0.0,0.0,0.0,0.1,0.1
24,New Orleans,0.0,0.0,0.0,0.0,0.0,0.1
24,Chicago,0.0,0.0,0.0,0.0,0.0,0.2
24,Houston,0.0,0.0,0.0,0.0,0.0,0.1
24,Denver,0.0,0.0,0.0,0.0,0.0,0.1
24,LA Chargers,0.0,0.0,0.0,0.0,0.0,0.1
24,NY Giants,0.0,0.0,0.0,0.0,0.0,0.1
24,LA Rams,0.0,0.0,0.0,0.0,0.0,0.1
24,Cincinnati,0.0,0.0,0.0,0.0,0.0,0.1
24,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.2
