Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Kansas City,2.6,2.7,1.0,2.3,3.0,2.5
2,Cincinnati,2.1,2.0,1.0,2.0,2.1,2.0
3,Buffalo,2.1,1.7,2.0,2.8,1.8,2.4
4,Miami,2.0,2.3,1.0,1.5,2.6,1.2
5,Green Bay,1.8,2.7,3.0,2.0,1.7,2.2
6,LA Chargers,1.7,2.0,3.0,1.6,1.8,2.2
6,Seattle,1.7,2.0,2.0,1.6,1.8,1.8
8,Las Vegas,1.6,2.3,3.0,1.3,1.9,1.3
9,New Orleans,1.6,1.3,0.0,1.7,1.5,1.7
10,Detroit,1.5,1.0,2.0,2.5,0.4,1.4
10,San Francisco,1.5,1.7,1.0,1.0,2.0,1.4
10,Baltimore,1.5,0.7,1.0,1.0,2.0,1.2
10,Philadelphia,1.5,1.7,2.0,1.8,1.2,1.2
10,Minnesota,1.5,1.3,3.0,1.7,1.4,2.0
15,Jacksonville,1.5,2.0,3.0,1.2,1.7,0.7
16,Washington,1.4,0.7,2.0,2.0,0.8,1.2
17,Dallas,1.4,2.3,2.0,1.3,1.4,2.3
18,Tampa Bay,1.3,1.7,2.0,1.4,1.2,2.4
19,Arizona,1.3,1.0,2.0,1.3,1.2,1.5
20,NY Jets,1.2,1.3,3.0,1.2,1.2,1.2
21,Atlanta,1.2,1.3,1.0,1.0,1.3,1.2
21,Chicago,1.2,1.3,1.0,1.6,0.9,0.9
23,Cleveland,1.1,1.7,1.0,1.2,1.0,1.2
23,Houston,1.1,0.7,1.0,1.4,0.8,1.2
23,LA Rams,1.1,1.3,1.0,1.3,0.8,2.4
26,Tennessee,1.0,1.7,0.0,1.0,1.0,1.3
26,New England,1.0,1.0,1.0,0.7,1.3,1.4
28,Indianapolis,0.9,0.7,1.0,1.3,0.5,1.6
29,NY Giants,0.9,1.3,1.0,1.0,0.8,0.9
30,Carolina,0.8,0.3,1.0,0.9,0.8,0.8
31,Denver,0.7,0.7,1.0,0.2,1.2,1.2
32,Pittsburgh,0.6,0.3,0.0,0.8,0.5,1.4
