Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Atlanta,0.03,0.02,0.02,0.03,0.03,0.04
2,LA Rams,0.04,0.04,0.04,0.04,0.04,0.03
3,Kansas City,0.04,0.02,0.02,0.04,0.04,0.05
4,LA Chargers,0.04,0.02,0.03,0.05,0.03,0.05
5,Indianapolis,0.04,0.04,0.02,0.04,0.04,0.04
6,Cincinnati,0.04,0.05,0.07,0.04,0.04,0.04
7,Minnesota,0.04,0.04,0.02,0.04,0.04,0.05
8,Houston,0.04,0.04,0.04,0.04,0.04,0.05
9,Philadelphia,0.04,0.04,0.02,0.04,0.04,0.05
10,NY Jets,0.04,0.02,0.01,0.03,0.06,0.05
11,Detroit,0.04,0.03,0.02,0.04,0.05,0.05
12,Chicago,0.04,0.05,0.01,0.04,0.04,0.05
13,Washington,0.04,0.04,0.03,0.04,0.04,0.04
14,Tampa Bay,0.04,0.05,0.06,0.04,0.05,0.04
15,Buffalo,0.04,0.05,0.05,0.05,0.04,0.05
16,Baltimore,0.04,0.05,0.02,0.05,0.04,0.05
17,Jacksonville,0.04,0.03,0.03,0.05,0.04,0.05
18,Pittsburgh,0.05,0.04,0.02,0.05,0.05,0.05
19,Cleveland,0.05,0.04,0.04,0.04,0.05,0.05
20,Green Bay,0.05,0.04,0.03,0.04,0.05,0.03
21,New England,0.05,0.06,0.05,0.04,0.05,0.05
22,Miami,0.05,0.03,0.03,0.04,0.06,0.05
23,San Francisco,0.05,0.04,0.06,0.04,0.05,0.05
24,Carolina,0.05,0.06,0.03,0.05,0.05,0.05
25,Arizona,0.05,0.05,0.02,0.04,0.06,0.05
26,Seattle,0.05,0.04,0.01,0.03,0.07,0.05
27,NY Giants,0.05,0.05,0.05,0.05,0.06,0.04
28,Tennessee,0.05,0.05,0.07,0.05,0.05,0.05
29,New Orleans,0.05,0.05,0.05,0.04,0.07,0.05
30,Las Vegas,0.06,0.07,0.05,0.06,0.05,0.06
31,Dallas,0.06,0.07,0.1,0.06,0.06,0.06
32,Denver,0.06,0.04,0.03,0.05,0.07,0.04
