Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Tampa Bay,18.2%,33.3%,0.0%,0.0%,33.3%,52.6%
2,Philadelphia,27.3%,33.3%,0.0%,50.0%,0.0%,44.4%
3,Las Vegas,36.4%,33.3%,100.0%,0.0%,57.1%,72.2%
3,Jacksonville,36.4%,0.0%,0.0%,20.0%,50.0%,47.1%
3,San Francisco,36.4%,0.0%,0.0%,20.0%,50.0%,65.0%
3,NY Jets,36.4%,0.0%,0.0%,50.0%,20.0%,64.7%
3,Miami,36.4%,0.0%,0.0%,16.7%,60.0%,64.7%
3,Tennessee,36.4%,33.3%,0.0%,20.0%,50.0%,55.6%
3,NY Giants,36.4%,33.3%,0.0%,50.0%,20.0%,64.7%
3,Cincinnati,36.4%,33.3%,0.0%,25.0%,42.9%,52.4%
11,Dallas,45.5%,66.7%,100.0%,50.0%,40.0%,55.6%
11,Pittsburgh,45.5%,0.0%,0.0%,40.0%,50.0%,50.0%
11,Denver,45.5%,33.3%,0.0%,60.0%,33.3%,35.3%
11,Seattle,45.5%,66.7%,100.0%,40.0%,50.0%,29.4%
15,Atlanta,50.0%,66.7%,100.0%,33.3%,66.7%,41.2%
15,New Orleans,50.0%,33.3%,0.0%,50.0%,50.0%,41.2%
15,New England,50.0%,0.0%,0.0%,50.0%,50.0%,55.6%
15,Green Bay,50.0%,33.3%,100.0%,20.0%,71.4%,27.8%
19,Detroit,54.6%,0.0%,0.0%,50.0%,60.0%,58.8%
19,Cleveland,54.6%,33.3%,100.0%,83.3%,20.0%,52.9%
19,Baltimore,54.6%,33.3%,0.0%,60.0%,50.0%,64.7%
19,Minnesota,54.6%,66.7%,100.0%,33.3%,80.0%,35.3%
23,Arizona,58.3%,66.7%,100.0%,33.3%,83.3%,50.0%
23,Buffalo,58.3%,33.3%,0.0%,75.0%,50.0%,52.6%
23,Carolina,58.3%,33.3%,0.0%,42.9%,80.0%,76.5%
23,Indianapolis,58.3%,33.3%,100.0%,33.3%,83.3%,29.4%
27,Kansas City,63.6%,66.7%,100.0%,66.7%,60.0%,60.0%
27,LA Chargers,63.6%,66.7%,0.0%,80.0%,50.0%,64.7%
27,LA Rams,63.6%,66.7%,100.0%,83.3%,40.0%,61.9%
30,Chicago,66.7%,100.0%,100.0%,80.0%,57.1%,70.6%
31,Houston,72.7%,100.0%,100.0%,80.0%,66.7%,52.9%
32,Washington,75.0%,66.7%,100.0%,83.3%,66.7%,64.7%
