Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Arizona,68.6,66.7,64.0,66.3,70.8,65.6
2,Cleveland,67.5,68.3,75.0,68.7,66.2,62.0
3,LA Chargers,67.0,61.7,64.0,68.0,66.2,66.4
4,Tampa Bay,66.8,73.0,66.0,66.8,66.8,67.5
5,Washington,66.7,69.3,60.0,65.8,67.5,62.9
6,Kansas City,66.5,65.3,72.0,68.2,64.6,67.0
7,Buffalo,66.3,69.3,72.0,61.3,68.9,66.3
8,Philadelphia,66.0,62.3,79.0,65.3,66.8,63.2
9,Cincinnati,65.6,67.7,66.0,73.8,61.0,61.8
10,Pittsburgh,65.5,71.3,67.0,65.2,65.7,65.5
11,Indianapolis,64.8,61.0,62.0,64.0,65.7,61.9
12,Minnesota,64.5,66.3,66.0,65.0,64.0,63.7
13,NY Giants,64.5,66.0,59.0,66.5,62.0,61.8
14,Jacksonville,63.8,63.3,61.0,66.8,61.3,60.5
15,Denver,63.7,64.0,57.0,68.6,59.7,60.9
16,Dallas,62.9,72.7,69.0,60.8,65.4,67.9
16,Detroit,62.9,63.0,67.0,62.3,63.6,62.1
18,Baltimore,62.3,66.3,68.0,61.6,62.8,69.7
19,Las Vegas,62.1,67.7,77.0,63.5,61.3,64.1
20,NY Jets,61.9,57.3,62.0,65.3,57.8,60.9
21,Miami,61.8,64.0,72.0,62.0,61.6,64.5
22,Green Bay,61.4,56.3,49.0,65.2,58.7,62.6
23,San Francisco,61.3,64.7,67.0,65.6,57.7,60.6
24,New Orleans,60.5,51.3,53.0,63.2,57.8,61.8
24,Chicago,60.5,60.0,56.0,63.0,58.7,63.2
26,LA Rams,60.3,59.0,55.0,62.0,58.2,63.2
27,New England,59.3,55.0,51.0,56.5,62.2,61.8
28,Seattle,59.2,61.0,63.0,61.8,57.0,56.1
29,Houston,58.0,57.3,58.0,56.6,59.2,59.4
30,Atlanta,57.8,56.0,55.0,60.3,55.2,59.2
31,Tennessee,56.8,60.0,56.0,57.6,56.2,65.8
32,Carolina,56.4,61.0,65.0,57.7,54.6,65.1
