Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Seattle,2.9,3.0,3.0,3.0,2.7,2.2
2,Chicago,2.9,2.3,3.0,3.0,2.8,2.6
2,LA Chargers,2.9,3.0,3.0,2.7,3.0,2.7
4,LA Rams,2.8,3.0,3.0,2.5,3.0,2.7
5,Las Vegas,2.8,2.1,2.0,3.0,2.6,2.8
6,Carolina,2.8,3.0,3.0,2.8,2.6,2.7
7,NY Giants,2.7,3.0,3.0,2.5,3.0,2.6
8,Houston,2.7,3.0,3.0,2.6,2.8,2.3
9,Washington,2.7,3.0,3.0,2.6,2.8,2.5
10,Arizona,2.7,2.4,1.5,2.4,3.0,2.4
10,Buffalo,2.7,3.0,3.0,2.7,2.7,2.6
10,Baltimore,2.7,2.7,2.4,3.0,2.4,2.8
13,Tampa Bay,2.7,2.0,3.0,2.8,2.6,2.4
14,Dallas,2.6,2.4,0.0,2.7,2.5,2.5
15,Philadelphia,2.5,3.0,3.0,2.6,2.5,2.7
16,San Francisco,2.5,3.0,3.0,2.5,2.5,2.6
17,New England,2.5,2.0,1.5,2.4,2.6,2.8
18,Tennessee,2.5,2.4,2.3,2.5,2.3,2.5
19,NY Jets,2.5,2.4,1.5,2.3,2.7,2.3
20,Green Bay,2.4,2.4,3.0,2.3,2.6,2.2
21,Atlanta,2.4,2.5,2.0,2.6,2.1,2.8
21,Jacksonville,2.4,1.9,3.0,2.7,2.2,2.3
21,Miami,2.4,2.5,3.0,2.8,1.9,2.2
21,Cincinnati,2.4,2.5,3.0,2.0,2.6,2.7
25,Pittsburgh,2.4,2.4,3.0,2.5,2.2,2.7
25,Detroit,2.4,2.3,1.5,2.6,2.1,2.6
25,Indianapolis,2.4,2.0,1.5,2.4,2.3,2.5
28,Kansas City,2.3,3.0,3.0,2.4,2.3,2.6
29,Denver,2.3,2.1,1.5,2.2,2.5,2.5
30,Minnesota,2.3,3.0,3.0,1.6,3.0,2.6
31,New Orleans,2.2,2.3,0.0,2.8,1.6,2.5
31,Cleveland,2.2,1.8,1.5,1.9,2.5,2.2
